var0,var1,var2,var3,var4,var5,var6,var7,y,fold,train_test
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205, negative,5,tst
M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295, negative,5,tst
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25, negative,5,tst
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281, negative,5,tst
I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525, negative,5,tst
I,0.47,0.365,0.1,0.41100000000000003,0.175,0.0855,0.135, negative,5,tst
I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14, negative,5,tst
M,0.495,0.395,0.12,0.5529999999999999,0.22399999999999998,0.1375,0.16699999999999998, negative,5,tst
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025, negative,5,tst
I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17, negative,5,tst
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249, negative,5,tst
F,0.59,0.46,0.145,0.9905,0.45299999999999996,0.2205,0.275, negative,5,tst
M,0.635,0.51,0.185,1.308,0.544,0.318,0.377, negative,5,tst
I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15, negative,5,tst
I,0.5,0.4,0.12,0.616,0.261,0.14300000000000002,0.1935, negative,5,tst
I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17, negative,5,tst
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175, negative,5,tst
I,0.545,0.42,0.125,0.7170000000000001,0.358,0.11199999999999999,0.22, negative,5,tst
F,0.575,0.465,0.195,0.9965,0.41700000000000004,0.247,0.47, negative,5,tst
F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995, negative,5,tst
I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645, negative,5,tst
F,0.535,0.425,0.135,0.7709999999999999,0.3765,0.1815,0.1795, negative,5,tst
I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081, negative,5,tst
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.19399999999999998, negative,5,tst
M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27, negative,5,tst
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054000000000000006, negative,5,tst
I,0.405,0.31,0.09,0.312,0.138,0.06,0.087, negative,5,tst
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158, negative,5,tst
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795, negative,5,tst
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605, negative,5,tst
F,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22, negative,5,tst
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15, negative,5,tst
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17, negative,5,tst
I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04, negative,5,tst
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032, negative,5,tst
F,0.37,0.275,0.08,0.22699999999999998,0.09300000000000001,0.0625,0.07, negative,5,tst
F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135, negative,5,tst
F,0.6,0.5,0.155,1.3319999999999999,0.6235,0.2835,0.35, negative,5,tst
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215, negative,5,tst
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295, negative,5,tst
M,0.61,0.48,0.15,1.1495,0.564,0.27399999999999997,0.264, negative,5,tst
M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292, negative,5,tst
F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595, negative,5,tst
I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015, negative,5,tst
I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315, negative,5,tst
I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195, negative,5,tst
I,0.36,0.27,0.09,0.23199999999999998,0.12,0.0435,0.055999999999999994, negative,5,tst
I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405, negative,5,tst
M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25, negative,5,tst
I,0.4,0.315,0.09,0.3245,0.151,0.073,0.08800000000000001, negative,5,tst
I,0.475,0.375,0.11,0.494,0.21100000000000002,0.109,0.1545, negative,5,tst
I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055, negative,5,tst
F,0.635,0.5,0.19,1.29,0.593,0.3045,0.35200000000000004, negative,5,tst
M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315, negative,5,tst
M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775, negative,5,tst
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255, negative,5,tst
I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07, negative,5,tst
I,0.295,0.21,0.08,0.1,0.038,0.026000000000000002,0.031, negative,5,tst
F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13, negative,5,tst
F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371, negative,5,tst
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645, negative,5,tst
F,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225, negative,5,tst
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365, negative,5,tst
I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12, negative,5,tst
I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485, negative,5,tst
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205, negative,5,tst
I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125, negative,5,tst
F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223, negative,5,tst
M,0.515,0.39,0.14,0.6779999999999999,0.341,0.1325,0.11900000000000001, negative,5,tst
I,0.44,0.32,0.095,0.3275,0.1495,0.059000000000000004,0.1, negative,5,tst
I,0.51,0.395,0.105,0.5525,0.23399999999999999,0.127,0.165, negative,5,tst
I,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1, negative,5,tst
M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153, negative,5,tst
I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184, negative,5,tst
M,0.485,0.39,0.12,0.599,0.251,0.1345,0.16899999999999998, negative,5,tst
M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445, negative,5,tst
I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985, negative,5,tst
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998, negative,5,tst
M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.21600000000000003, negative,5,tst
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785, negative,5,tst
I,0.48,0.355,0.11,0.4495,0.201,0.08900000000000001,0.14, negative,5,tst
I,0.5,0.385,0.12,0.56,0.2835,0.10300000000000001,0.135, negative,5,tst
I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17, negative,5,tst
I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19, negative,5,tst
I,0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139, negative,5,tst
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183, negative,5,tst
M,0.52,0.425,0.125,0.79,0.37200000000000005,0.205,0.19, negative,5,tst
M,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58, positive,5,tst
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57, positive,5,tst
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375, positive,5,tst
I,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265, positive,5,tst
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17, positive,5,tst
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205, positive,5,tst
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445, positive,5,tst
F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585, positive,5,tst
M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4, positive,5,tst
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725, positive,5,tst
F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47, positive,5,tst
M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465, positive,5,tst
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12, negative,4,tra
M,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125, negative,4,tra
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145, negative,4,tra
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19, negative,4,tra
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22, negative,4,tra
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135, negative,4,tra
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17, negative,4,tra
M,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185, negative,4,tra
M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135, negative,4,tra
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1, negative,4,tra
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145, negative,4,tra
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085, negative,4,tra
I,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08, negative,4,tra
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285, negative,4,tra
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05, negative,4,tra
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15, negative,4,tra
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12, negative,4,tra
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135, negative,4,tra
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105, negative,4,tra
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04, negative,4,tra
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06, negative,4,tra
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905, negative,4,tra
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001, negative,4,tra
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09, negative,4,tra
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095, negative,4,tra
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24, negative,4,tra
I,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09, negative,4,tra
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245, negative,4,tra
M,0.47,0.38,0.145,0.5865,0.2385,0.14400000000000002,0.185, negative,4,tra
M,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235, negative,4,tra
I,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035, negative,4,tra
I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07, negative,4,tra
M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.11699999999999999, negative,4,tra
F,0.44,0.34,0.105,0.364,0.14800000000000002,0.0805,0.1175, negative,4,tra
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09, negative,4,tra
M,0.355,0.265,0.09,0.168,0.05,0.040999999999999995,0.063, negative,4,tra
M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695, negative,4,tra
I,0.485,0.375,0.14,0.521,0.2,0.12300000000000001,0.17, negative,4,tra
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085, negative,4,tra
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405, negative,4,tra
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175, negative,4,tra
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225, negative,4,tra
F,0.55,0.43,0.125,0.9229999999999999,0.4035,0.175,0.28300000000000003, negative,4,tra
F,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32, negative,4,tra
I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04, negative,4,tra
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125, negative,4,tra
I,0.45,0.355,0.105,0.4445,0.19699999999999998,0.09300000000000001,0.1335, negative,4,tra
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14, negative,4,tra
F,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146, negative,4,tra
M,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115, negative,4,tra
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695, negative,4,tra
I,0.505,0.39,0.15,0.685,0.36200000000000004,0.131,0.156, negative,4,tra
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185, negative,4,tra
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19, negative,4,tra
M,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955, negative,4,tra
F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23, negative,4,tra
F,0.525,0.415,0.14,0.7240000000000001,0.3475,0.17300000000000001,0.175, negative,4,tra
F,0.53,0.425,0.15,0.8495,0.32799999999999996,0.23199999999999998,0.20199999999999999, negative,4,tra
M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155, negative,4,tra
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18, negative,4,tra
F,0.57,0.455,0.15,1.107,0.54,0.255,0.27, negative,4,tra
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24, negative,4,tra
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276, negative,4,tra
M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309, negative,4,tra
F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25, negative,4,tra
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33, negative,4,tra
M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235, negative,4,tra
M,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4, negative,4,tra
F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336, negative,4,tra
M,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405, negative,4,tra
I,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109, negative,4,tra
I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315, negative,4,tra
I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134, negative,4,tra
I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166, negative,4,tra
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157, negative,4,tra
I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998, negative,4,tra
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405, negative,4,tra
I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19, negative,4,tra
F,0.55,0.415,0.135,0.8145,0.42700000000000005,0.1855,0.175, negative,4,tra
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223, negative,4,tra
M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215, negative,4,tra
F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245, negative,4,tra
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205, negative,4,tra
I,0.57,0.44,0.15,0.755,0.3425,0.16,0.22399999999999998, negative,4,tra
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265, negative,4,tra
M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295, negative,4,tra
M,0.59,0.47,0.15,0.9955,0.48100000000000004,0.23199999999999998,0.24, negative,4,tra
M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24, negative,4,tra
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25, negative,4,tra
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475, negative,4,tra
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405, negative,4,tra
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281, negative,4,tra
M,0.665,0.525,0.16,1.3630000000000002,0.629,0.27899999999999997,0.34, negative,4,tra
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685, negative,4,tra
I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525, negative,4,tra
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065, negative,4,tra
I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07, negative,4,tra
I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945, negative,4,tra
I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085, negative,4,tra
I,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126, negative,4,tra
I,0.455,0.33,0.1,0.37200000000000005,0.358,0.0775,0.11, negative,4,tra
F,0.46,0.365,0.125,0.4785,0.20600000000000002,0.1045,0.141, negative,4,tra
I,0.47,0.365,0.1,0.41100000000000003,0.175,0.0855,0.135, negative,4,tra
I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505, negative,4,tra
I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14, negative,4,tra
I,0.48,0.355,0.115,0.4725,0.2065,0.11199999999999999,0.132, negative,4,tra
I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495, negative,4,tra
M,0.495,0.395,0.12,0.5529999999999999,0.22399999999999998,0.1375,0.16699999999999998, negative,4,tra
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18, negative,4,tra
I,0.505,0.395,0.105,0.551,0.248,0.10300000000000001,0.171, negative,4,tra
I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225, negative,4,tra
I,0.545,0.435,0.135,0.7715,0.37200000000000005,0.14800000000000002,0.22699999999999998, negative,4,tra
I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185, negative,4,tra
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225, negative,4,tra
M,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.21899999999999997, negative,4,tra
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253, negative,4,tra
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237, negative,4,tra
I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855, negative,4,tra
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025, negative,4,tra
I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125, negative,4,tra
I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17, negative,4,tra
M,0.52,0.4,0.125,0.5589999999999999,0.254,0.139,0.149, negative,4,tra
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735, negative,4,tra
M,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175, negative,4,tra
F,0.56,0.43,0.15,0.8745,0.45299999999999996,0.161,0.22, negative,4,tra
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249, negative,4,tra
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385, negative,4,tra
M,0.585,0.455,0.15,0.9059999999999999,0.4095,0.23,0.2335, negative,4,tra
M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245, negative,4,tra
F,0.59,0.46,0.145,0.9905,0.45299999999999996,0.2205,0.275, negative,4,tra
M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25, negative,4,tra
I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251, negative,4,tra
M,0.635,0.51,0.185,1.308,0.544,0.318,0.377, negative,4,tra
I,0.385,0.3,0.09,0.308,0.1525,0.055999999999999994,0.0835, negative,4,tra
I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955, negative,4,tra
I,0.425,0.325,0.11,0.317,0.135,0.048,0.09, negative,4,tra
I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105, negative,4,tra
I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155, negative,4,tra
M,0.48,0.355,0.16,0.46399999999999997,0.221,0.106,0.239, negative,4,tra
I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.14300000000000002, negative,4,tra
I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.16899999999999998, negative,4,tra
I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15, negative,4,tra
I,0.5,0.4,0.12,0.616,0.261,0.14300000000000002,0.1935, negative,4,tra
I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17, negative,4,tra
I,0.515,0.39,0.125,0.5705,0.23800000000000002,0.1265,0.185, negative,4,tra
M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875, negative,4,tra
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175, negative,4,tra
I,0.54,0.425,0.135,0.6859999999999999,0.3475,0.1545,0.213, negative,4,tra
I,0.545,0.375,0.12,0.5429999999999999,0.2375,0.1155,0.1725, negative,4,tra
I,0.545,0.42,0.125,0.7170000000000001,0.358,0.11199999999999999,0.22, negative,4,tra
I,0.55,0.425,0.15,0.7665,0.33899999999999997,0.17600000000000002,0.21, negative,4,tra
I,0.555,0.435,0.14,0.765,0.3945,0.15,0.20600000000000002, negative,4,tra
F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21, negative,4,tra
F,0.575,0.465,0.195,0.9965,0.41700000000000004,0.247,0.47, negative,4,tra
F,0.58,0.435,0.15,0.8340000000000001,0.428,0.1515,0.23, negative,4,tra
F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265, negative,4,tra
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235, negative,4,tra
F,0.6,0.46,0.155,0.9735,0.42700000000000005,0.2045,0.3, negative,4,tra
I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29, negative,4,tra
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27, negative,4,tra
F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995, negative,4,tra
I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645, negative,4,tra
I,0.485,0.365,0.105,0.5205,0.195,0.12300000000000001,0.182, negative,4,tra
F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825, negative,4,tra
M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105, negative,4,tra
F,0.535,0.425,0.135,0.7709999999999999,0.3765,0.1815,0.1795, negative,4,tra
I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253, negative,4,tra
I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081, negative,4,tra
I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12, negative,4,tra
I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105, negative,4,tra
I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147, negative,4,tra
I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165, negative,4,tra
I,0.495,0.375,0.14,0.494,0.18100000000000002,0.0975,0.191, negative,4,tra
I,0.505,0.4,0.145,0.7045,0.33399999999999996,0.1425,0.207, negative,4,tra
I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184, negative,4,tra
I,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21, negative,4,tra
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.19399999999999998, negative,4,tra
M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27, negative,4,tra
F,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265, negative,4,tra
I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925, negative,4,tra
I,0.32,0.255,0.085,0.1745,0.07200000000000001,0.033,0.057, negative,4,tra
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054000000000000006, negative,4,tra
I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725, negative,4,tra
I,0.405,0.31,0.09,0.312,0.138,0.06,0.087, negative,4,tra
I,0.445,0.32,0.12,0.37799999999999995,0.152,0.0825,0.12, negative,4,tra
M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135, negative,4,tra
M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132, negative,4,tra
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158, negative,4,tra
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635, negative,4,tra
F,0.5,0.38,0.14,0.6355,0.27699999999999997,0.14300000000000002,0.1785, negative,4,tra
M,0.525,0.385,0.1,0.5115,0.24600000000000002,0.1005,0.1455, negative,4,tra
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795, negative,4,tra
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605, negative,4,tra
F,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22, negative,4,tra
M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005, negative,4,tra
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32, negative,4,tra
F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175, negative,4,tra
M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175, negative,4,tra
F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185, negative,4,tra
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15, negative,4,tra
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115, negative,4,tra
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935, negative,4,tra
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155, negative,4,tra
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2, negative,4,tra
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11, negative,4,tra
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16, negative,4,tra
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175, negative,4,tra
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135, negative,4,tra
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17, negative,4,tra
I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04, negative,4,tra
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105, negative,4,tra
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109, negative,4,tra
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032, negative,4,tra
M,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13, negative,4,tra
F,0.37,0.275,0.08,0.22699999999999998,0.09300000000000001,0.0625,0.07, negative,4,tra
F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135, negative,4,tra
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065, negative,4,tra
I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085, negative,4,tra
F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175, negative,4,tra
I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163, negative,4,tra
F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135, negative,4,tra
M,0.5,0.4,0.13,0.7715,0.37,0.16,0.21100000000000002, negative,4,tra
F,0.6,0.5,0.155,1.3319999999999999,0.6235,0.2835,0.35, negative,4,tra
I,0.45,0.35,0.12,0.46799999999999997,0.2005,0.1065,0.1325, negative,4,tra
I,0.475,0.355,0.105,0.46799999999999997,0.201,0.1115,0.12, negative,4,tra
M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195, negative,4,tra
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215, negative,4,tra
F,0.55,0.425,0.125,0.9640000000000001,0.5475,0.159,0.215, negative,4,tra
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295, negative,4,tra
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425, negative,4,tra
F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335, negative,4,tra
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248, negative,4,tra
F,0.6,0.46,0.15,1.235,0.6025,0.27399999999999997,0.29, negative,4,tra
M,0.61,0.48,0.15,1.1495,0.564,0.27399999999999997,0.264, negative,4,tra
