fingerprint,minutia,x,y,angle
B142X1I_1_1,v15,447,346,191.0
B142X1I_1_1,v16,466,393,186.0
B142X1I_1_1,v17,411,327,164.0
B142X1I_1_1,v18,411,353,159.0
B142X1I_1_1,v19,457,403,159.0
B142X1I_1_1,v20,353,386,126.0
B142X1I_1_1,v21,361,417,114.0
B142X1I_1_1,v22,415,408,99.0
B142X1I_1_1,v23,382,431,96.0
B142X1I_1_1,v24,335,458,94.0
B142X1I_1_1,v25,348,464,90.0
B143X6I_1_1,v0,461,322,82.0
B143X6I_1_1,v1,293,351,79.0
B143X6I_1_1,v2,441,307,77.0
B143X6I_1_1,v3,470,290,61.0
B143X6I_1_1,v4,412,276,340.0
B143X6I_1_1,v5,390,179,333.0
B143X6I_1_1,v6,520,500,325.0
B143X6I_1_1,v7,540,482,310.0
B143X6I_1_1,v8,388,429,309.0
B143X6I_1_1,v9,535,460,294.0
B143X6I_1_1,v10,443,441,294.0
B143X6I_1_1,v11,448,409,286.0
B143X6I_1_1,v12,348,422,214.0
B143X6I_1_1,v13,349,463,191.0
B143X6I_1_1,v14,396,388,151.0
B143X6I_1_1,v15,389,365,147.0
B143X6I_1_1,v16,393,413,137.0
B143X6I_1_1,v17,416,350,127.0
B143X6I_1_1,v18,430,425,117.0
B143X6I_1_1,v19,427,386,111.0
B143X6I_1_1,v20,432,318,100.0
B143X6I_1_1,v21,436,341,97.0
B143X6I_1_1,v22,539,358,91.0
B143X6I_1_1,v23,250,318,95.0
B144X3I_1_1,v0,421,445,77.0
B144X3I_1_1,v1,414,409,71.0
B144X3I_1_1,v2,476,336,67.0
B144X3I_1_1,v3,444,296,40.0
B144X3I_1_1,v4,378,258,352.0
B144X3I_1_1,v5,497,454,243.0
B144X3I_1_1,v6,502,345,247.0
B144X3I_1_1,v7,473,303,221.0
B144X3I_1_1,v8,457,324,214.0
B144X3I_1_1,v9,435,302,203.0
B144X3I_1_1,v10,421,376,192.0
B144X3I_1_1,v11,417,322,187.0
B144X3I_1_1,v12,427,276,187.0
B144X3I_1_1,v13,363,362,110.0
B144X3I_1_1,v14,382,366,103.0
B145X8I_1_1,v0,446,359,85.0
B145X8I_1_1,v1,423,335,76.0
B145X8I_1_1,v2,434,298,63.0
B145X8I_1_1,v3,509,295,59.0
B145X8I_1_1,v4,341,321,329.0
B145X8I_1_1,v5,426,437,299.0
B145X8I_1_1,v6,351,431,291.0
B145X8I_1_1,v7,339,393,286.0
B145X8I_1_1,v8,405,414,285.0
B145X8I_1_1,v9,377,410,279.0
B145X8I_1_1,v10,513,283,240.0
B145X8I_1_1,v11,526,371,240.0
B145X8I_1_1,v12,550,368,231.0
B145X8I_1_1,v13,511,389,227.0
B145X8I_1_1,v14,545,405,215.0
B145X8I_1_1,v15,572,434,209.0
B145X8I_1_1,v16,491,402,166.0
B145X8I_1_1,v17,497,429,142.0
B145X8I_1_1,v18,305,331,117.0
B145X8I_1_1,v19,359,389,103.0
B145X8I_1_1,v20,368,382,97.0
B146X6I_1_1,v0,454,425,50.0
B146X6I_1_1,v1,446,391,42.0
B146X6I_1_1,v2,468,394,37.0
B146X6I_1_1,v3,482,367,34.0
B146X6I_1_1,v4,501,427,39.0
B146X6I_1_1,v5,414,335,14.0
B146X6I_1_1,v6,335,276,4.0
B146X6I_1_1,v7,321,244,0.0
B146X6I_1_1,v8,412,269,353.0
B146X6I_1_1,v9,391,238,347.0
B146X6I_1_1,v10,558,345,220.0
B146X6I_1_1,v11,520,434,216.0
B147X7I_1_1,v0,444,459,27.0
B147X7I_1_1,v1,416,476,3.0
B147X7I_1_1,v2,387,493,354.0
B147X7I_1_1,v3,387,412,321.0
B147X7I_1_1,v4,349,474,320.0
B147X7I_1_1,v5,329,484,317.0
B147X7I_1_1,v6,474,431,202.0
B148X6I_1_1,v0,550,423,81.0
B148X6I_1_1,v1,560,420,71.0
B148X6I_1_1,v2,576,402,67.0
B148X6I_1_1,v3,594,389,55.0
B148X6I_1_1,v4,521,311,50.0
B148X6I_1_1,v5,635,626,5.0
B148X6I_1_1,v6,642,609,355.0
B148X6I_1_1,v7,548,611,357.0
B148X6I_1_1,v8,622,591,349.0
B148X6I_1_1,v9,517,600,352.0
B148X6I_1_1,v10,281,567,354.0
B148X6I_1_1,v11,624,563,348.0
B148X6I_1_1,v12,380,522,339.0
B148X6I_1_1,v13,285,489,342.0
B148X6I_1_1,v14,585,568,337.0
B148X6I_1_1,v15,556,559,335.0
B148X6I_1_1,v16,518,585,336.0
B148X6I_1_1,v17,246,477,333.0
B148X6I_1_1,v18,441,536,325.0
B148X6I_1_1,v19,533,569,322.0
B148X6I_1_1,v20,505,570,323.0
B148X6I_1_1,v21,476,571,317.0
B148X6I_1_1,v22,578,501,316.0
B148X6I_1_1,v23,397,458,310.0
B148X6I_1_1,v24,615,475,218.0
B148X6I_1_1,v25,670,478,214.0
B148X6I_1_1,v26,649,501,212.0
B148X6I_1_1,v27,620,495,204.0
B148X6I_1_1,v28,667,525,192.0
B148X6I_1_1,v29,628,511,188.0
B148X6I_1_1,v30,653,585,170.0
B148X6I_1_1,v31,652,550,159.0
B148X6I_1_1,v32,368,551,152.0
B148X6I_1_1,v33,625,539,157.0
B148X6I_1_1,v34,360,452,151.0
B148X6I_1_1,v35,399,546,148.0
B148X6I_1_1,v36,470,529,145.0
B148X6I_1_1,v37,496,396,112.0
B148X6I_1_1,v38,527,431,101.0
B150X3I_1_1,v0,750,402,83.0
B150X3I_1_1,v1,609,437,74.0
B150X3I_1_1,v2,699,372,56.0
B150X3I_1_1,v3,661,414,45.0
B150X3I_1_1,v4,721,408,259.0
B150X3I_1_1,v5,740,440,254.0
B150X3I_1_1,v6,710,389,243.0
B150X3I_1_1,v7,723,424,233.0
B150X3I_1_1,v8,745,468,229.0
B150X3I_1_1,v9,775,509,207.0
B150X3I_1_1,v10,738,490,208.0
B150X3I_1_1,v11,705,488,201.0
B150X3I_1_1,v12,733,504,193.0
B150X3I_1_1,v13,667,335,123.0
B150X3I_1_1,v14,614,343,110.0
B150X3I_1_1,v15,651,362,102.0
B151X9I_1_1,v0,412,521,58.0
B151X9I_1_1,v1,472,475,49.0
B151X9I_1_1,v2,501,441,38.0
B151X9I_1_1,v3,535,385,27.0
B151X9I_1_1,v4,468,365,10.0
B151X9I_1_1,v5,379,424,333.0
B151X9I_1_1,v6,472,307,180.0
B151X9I_1_1,v7,479,362,185.0
B151X9I_1_1,v8,425,405,156.0
B151X9I_1_1,v9,458,542,150.0
B151X9I_1_1,v10,390,460,144.0
B151X9I_1_1,v11,393,506,117.0
B152X8I_1_1,v0,464,316,43.0
B152X8I_1_1,v1,455,394,36.0
B152X8I_1_1,v2,420,451,15.0
B152X8I_1_1,v3,422,423,11.0
B152X8I_1_1,v4,466,514,352.0
B152X8I_1_1,v5,421,381,345.0
B152X8I_1_1,v6,330,326,310.0
B152X8I_1_1,v7,364,331,314.0
B152X8I_1_1,v8,366,422,307.0
B152X8I_1_1,v9,393,433,308.0
B152X8I_1_1,v10,281,309,309.0
B152X8I_1_1,v11,323,282,307.0
B152X8I_1_1,v12,396,517,301.0
B152X8I_1_1,v13,341,419,298.0
B152X8I_1_1,v14,463,485,234.0
B152X8I_1_1,v15,476,485,230.0
B152X8I_1_1,v16,486,406,219.0
B152X8I_1_1,v17,475,337,210.0
B152X8I_1_1,v18,474,371,198.0
B152X8I_1_1,v19,514,506,200.0
B152X8I_1_1,v20,497,508,172.0
B152X8I_1_1,v21,427,296,155.0
B152X8I_1_1,v22,343,308,129.0
B152X8I_1_1,v23,378,289,126.0
B152X8I_1_1,v24,407,472,125.0
B152X8I_1_1,v25,316,270,123.0
B152X8I_1_1,v26,419,480,114.0
B153X1I_1_1,v0,536,297,72.0
B153X1I_1_1,v1,452,437,68.0
B153X1I_1_1,v2,322,494,71.0
B153X1I_1_1,v3,530,427,63.0
B153X1I_1_1,v4,548,403,59.0
B153X1I_1_1,v5,595,380,55.0
B153X1I_1_1,v6,588,397,56.0
B153X1I_1_1,v7,543,351,256.0
B153X1I_1_1,v8,347,513,244.0
B153X1I_1_1,v9,495,486,242.0
B153X1I_1_1,v10,437,499,245.0
B153X1I_1_1,v11,336,436,192.0
B153X1I_1_1,v12,332,467,160.0
B154X6I_1_1,v0,286,449,81.0
B154X6I_1_1,v1,420,127,342.0
B154X6I_1_1,v2,351,279,315.0
B154X6I_1_1,v3,351,161,315.0
B154X6I_1_1,v4,345,502,312.0
B154X6I_1_1,v5,358,504,307.0
B154X6I_1_1,v6,333,289,295.0
B154X6I_1_1,v7,379,467,283.0
B154X6I_1_1,v8,469,442,276.0
B154X6I_1_1,v9,281,377,276.0
B154X6I_1_1,v10,343,423,274.0
B154X6I_1_1,v11,342,465,272.0
B154X6I_1_1,v12,341,481,256.0
B154X6I_1_1,v13,339,502,217.0
B154X6I_1_1,v14,355,141,138.0
B154X6I_1_1,v15,328,271,122.0
B154X6I_1_1,v16,471,369,105.0
B154X6I_1_1,v17,459,360,97.0
B154X6I_1_1,v18,255,347,101.0
B154X6I_1_1,v19,472,386,92.0
B154X6I_1_1,v20,535,433,93.0
B155X6I_1_1,v0,299,400,89.0
B155X6I_1_1,v1,268,457,80.0
B155X6I_1_1,v2,503,302,34.0
B155X6I_1_1,v3,484,262,24.0
B155X6I_1_1,v4,444,292,7.0
B155X6I_1_1,v5,471,214,10.0
B155X6I_1_1,v6,438,221,5.0
B155X6I_1_1,v7,407,283,350.0
B155X6I_1_1,v8,368,211,352.0
B155X6I_1_1,v9,402,301,346.0
B155X6I_1_1,v10,339,144,339.0
B155X6I_1_1,v11,339,323,307.0
B155X6I_1_1,v12,381,391,300.0
B155X6I_1_1,v13,304,385,282.0
B155X6I_1_1,v14,310,454,271.0
B155X6I_1_1,v15,360,515,265.0
B155X6I_1_1,v16,343,490,269.0
B155X6I_1_1,v17,305,483,260.0
B155X6I_1_1,v18,272,478,255.0
B155X6I_1_1,v19,282,494,236.0
B155X6I_1_1,v20,328,557,231.0
B155X6I_1_1,v21,481,241,192.0
B155X6I_1_1,v22,462,278,182.0
B155X6I_1_1,v23,391,263,152.0
B155X6I_1_1,v24,340,207,144.0
B155X6I_1_1,v25,319,296,107.0
B155X6I_1_1,v26,338,356,100.0
B155X6I_1_1,v27,279,421,91.0
B157X7I_1_1,v0,366,428,87.0
B157X7I_1_1,v1,347,396,63.0
B157X7I_1_1,v2,370,372,51.0
B157X7I_1_1,v3,458,427,55.0
B157X7I_1_1,v4,361,382,56.0
B157X7I_1_1,v5,414,365,46.0
B157X7I_1_1,v6,377,357,32.0
B157X7I_1_1,v7,459,591,289.0
B157X7I_1_1,v8,445,563,271.0
B157X7I_1_1,v9,455,456,245.0
B157X7I_1_1,v10,339,415,108.0
B157X7I_1_1,v11,353,421,92.0
B158X8I_1_1,v0,292,553,84.0
B158X8I_1_1,v1,306,561,71.0
B158X8I_1_1,v2,409,400,20.0
B158X8I_1_1,v3,344,622,3.0
B158X8I_1_1,v4,362,586,0.0
B158X8I_1_1,v5,387,439,330.0
B158X8I_1_1,v6,321,382,323.0
B158X8I_1_1,v7,368,425,325.0
B158X8I_1_1,v8,343,429,306.0
B158X8I_1_1,v9,291,613,230.0
B158X8I_1_1,v10,357,603,214.0
B158X8I_1_1,v11,335,633,216.0
B158X8I_1_1,v12,325,646,208.0
B158X8I_1_1,v13,400,574,153.0
B158X8I_1_1,v14,414,591,130.0
B158X8I_1_1,v15,410,513,112.0
B158X8I_1_1,v16,316,454,108.0
B158X8I_1_1,v17,398,476,102.0
B161X1I_1_1,v0,373,372,66.0
B161X1I_1_1,v1,391,353,67.0
B161X1I_1_1,v2,295,358,58.0
B161X1I_1_1,v3,447,331,55.0
B161X1I_1_1,v4,487,173,46.0
B161X1I_1_1,v5,398,575,353.0
B161X1I_1_1,v6,346,477,337.0
B161X1I_1_1,v7,404,297,229.0
B161X1I_1_1,v8,527,285,226.0
B161X1I_1_1,v9,510,171,226.0
B161X1I_1_1,v10,314,384,229.0
B161X1I_1_1,v11,530,119,230.0
B161X1I_1_1,v12,477,327,229.0
B161X1I_1_1,v13,340,351,224.0
B161X1I_1_1,v14,385,466,202.0
B161X1I_1_1,v15,460,502,186.0
B161X1I_1_1,v16,373,562,176.0
B161X1I_1_1,v17,426,538,173.0
B161X1I_1_1,v18,281,330,136.0
B163X7I_1_1,v0,378,315,52.0
B163X7I_1_1,v1,384,272,37.0
B163X7I_1_1,v2,398,255,33.0
B163X7I_1_1,v3,393,204,18.0
B163X7I_1_1,v4,352,196,356.0
B163X7I_1_1,v5,322,294,351.0
B163X7I_1_1,v6,334,201,343.0
B163X7I_1_1,v7,306,276,333.0
B163X7I_1_1,v8,435,197,203.0
B163X7I_1_1,v9,393,229,192.0
B163X7I_1_1,v10,276,309,129.0
B163X7I_1_1,v11,321,380,119.0
B163X7I_1_1,v12,339,402,106.0
B164X3I_1_1,v0,410,387,85.0
B164X3I_1_1,v1,421,378,80.0
B164X3I_1_1,v2,480,393,31.0
B164X3I_1_1,v3,414,450,9.0
B164X3I_1_1,v4,382,490,350.0
B164X3I_1_1,v5,338,506,339.0
B164X3I_1_1,v6,339,482,326.0
B164X3I_1_1,v7,371,462,315.0
B164X3I_1_1,v8,304,474,311.0
B164X3I_1_1,v9,347,465,311.0
B164X3I_1_1,v10,296,362,298.0
B164X3I_1_1,v11,468,442,213.0
B164X3I_1_1,v12,435,446,204.0
B164X3I_1_1,v13,526,443,195.0
B164X3I_1_1,v14,473,484,190.0
B164X3I_1_1,v15,456,505,187.0
B164X3I_1_1,v16,334,339,112.0
B164X3I_1_1,v17,375,392,100.0
B164X3I_1_1,v18,388,356,93.0
B164X3I_1_1,v19,394,412,94.0
B165X7I_1_1,v0,322,617,344.0
B165X7I_1_1,v1,272,547,329.0
B165X7I_1_1,v2,246,547,322.0
B165X7I_1_1,v3,237,537,310.0
B165X7I_1_1,v4,387,526,209.0
B165X7I_1_1,v5,352,512,205.0
B165X7I_1_1,v6,311,519,197.0
B165X7I_1_1,v7,362,543,195.0
B165X7I_1_1,v8,328,533,190.0
B165X7I_1_1,v9,414,613,191.0
B165X7I_1_1,v10,348,545,179.0
B165X7I_1_1,v11,340,562,170.0
B165X7I_1_1,v12,401,633,171.0
B165X7I_1_1,v13,295,529,162.0
B166X3I_1_1,v0,435,434,44.0
B166X3I_1_1,v1,457,264,23.0
B166X3I_1_1,v2,374,403,308.0
B166X3I_1_1,v3,383,458,276.0
B166X3I_1_1,v4,485,363,209.0
B166X3I_1_1,v5,452,391,211.0
B166X3I_1_1,v6,463,310,204.0
B166X3I_1_1,v7,405,328,166.0
B166X3I_1_1,v8,410,345,156.0
B166X3I_1_1,v9,420,377,155.0
B166X3I_1_1,v10,429,416,111.0
B167X2I_1_1,v0,444,386,87.0
B167X2I_1_1,v1,427,409,85.0
B167X2I_1_1,v2,470,336,59.0
B167X2I_1_1,v3,368,430,274.0
B167X2I_1_1,v4,438,445,266.0
B167X2I_1_1,v5,504,347,233.0
B167X2I_1_1,v6,361,282,133.0
B167X2I_1_1,v7,447,334,125.0
B167X2I_1_1,v8,316,392,112.0
B167X2I_1_1,v9,462,354,90.0
B167X2I_1_1,v10,362,401,94.0
B168X1I_1_1,v0,316,434,85.0
B168X1I_1_1,v1,197,530,80.0
B168X1I_1_1,v2,330,429,74.0
B168X1I_1_1,v3,259,465,77.0
B168X1I_1_1,v4,510,411,67.0
B168X1I_1_1,v5,401,412,64.0
B168X1I_1_1,v6,351,445,58.0
B168X1I_1_1,v7,429,362,48.0
B168X1I_1_1,v8,283,486,260.0
B168X1I_1_1,v9,527,438,251.0
B168X1I_1_1,v10,538,484,242.0
B168X1I_1_1,v11,333,522,238.0
B168X1I_1_1,v12,488,414,239.0
B168X1I_1_1,v13,325,536,234.0
B168X1I_1_1,v14,289,562,227.0
B168X1I_1_1,v15,409,527,230.0
B168X1I_1_1,v16,381,536,230.0
B168X1I_1_1,v17,233,572,225.0
B168X1I_1_1,v18,342,561,216.0
B168X1I_1_1,v19,275,570,215.0
B168X1I_1_1,v20,397,560,210.0
B168X1I_1_1,v21,370,574,212.0
B168X1I_1_1,v22,231,590,203.0
B168X1I_1_1,v23,442,592,199.0
B168X1I_1_1,v24,288,593,198.0
B168X1I_1_1,v25,312,406,109.0
B168X1I_1_1,v26,233,446,99.0
B168X1I_1_1,v27,214,484,94.0
B168X1I_1_1,v28,281,432,95.0
B168X1I_1_1,v29,248,468,90.0
B169X2I_1_1,v0,460,368,72.0
B169X2I_1_1,v1,455,357,40.0
B169X2I_1_1,v2,373,318,320.0
B169X2I_1_1,v3,364,357,297.0
B169X2I_1_1,v4,488,406,255.0
B169X2I_1_1,v5,503,336,228.0
B169X2I_1_1,v6,466,271,185.0
B169X2I_1_1,v7,451,297,171.0
B169X2I_1_1,v8,392,282,149.0
B169X2I_1_1,v9,437,321,139.0
B169X2I_1_1,v10,389,317,138.0
B169X2I_1_1,v11,459,329,139.0
B169X2I_1_1,v12,388,329,113.0
B169X2I_1_1,v13,428,369,93.0
B170X7I_1_1,v0,377,526,87.0
B170X7I_1_1,v1,422,528,79.0
B170X7I_1_1,v2,441,479,69.0
B170X7I_1_1,v3,462,464,66.0
B170X7I_1_1,v4,509,489,63.0
B170X7I_1_1,v5,348,505,67.0
B170X7I_1_1,v6,528,520,58.0
B170X7I_1_1,v7,358,477,51.0
B170X7I_1_1,v8,474,383,54.0
B170X7I_1_1,v9,502,436,53.0
B170X7I_1_1,v10,386,449,49.0
B170X7I_1_1,v11,459,403,49.0
B170X7I_1_1,v12,406,432,37.0
B170X7I_1_1,v13,400,399,30.0
B170X7I_1_1,v14,338,436,343.0
B170X7I_1_1,v15,316,475,323.0
B170X7I_1_1,v16,327,488,322.0
B170X7I_1_1,v17,499,560,246.0
B170X7I_1_1,v18,471,426,227.0
B170X7I_1_1,v19,400,453,211.0
B170X7I_1_1,v20,334,514,103.0
B170X7I_1_1,v21,348,521,99.0
B170X7I_1_1,v22,358,555,100.0
B171X7I_1_1,v0,445,445,75.0
B171X7I_1_1,v1,439,405,76.0
B171X7I_1_1,v2,413,373,77.0
B171X7I_1_1,v3,469,403,65.0
B171X7I_1_1,v4,452,353,65.0
B171X7I_1_1,v5,399,341,62.0
B171X7I_1_1,v6,497,363,56.0
B171X7I_1_1,v7,397,297,49.0
B171X7I_1_1,v8,417,323,50.0
B171X7I_1_1,v9,473,294,48.0
B171X7I_1_1,v10,551,433,243.0
B171X7I_1_1,v11,501,469,246.0
B171X7I_1_1,v12,516,511,237.0
B171X7I_1_1,v13,460,315,235.0
B171X7I_1_1,v14,499,617,232.0
B171X7I_1_1,v15,510,578,230.0
B171X7I_1_1,v16,462,499,222.0
B171X7I_1_1,v17,457,511,209.0
B171X7I_1_1,v18,431,473,108.0
B171X7I_1_1,v19,410,439,97.0
B171X7I_1_1,v20,393,391,94.0
B172X1I_1_1,v0,545,487,74.0
B172X1I_1_1,v1,529,431,64.0
B172X1I_1_1,v2,415,466,61.0
B172X1I_1_1,v3,498,276,40.0
B172X1I_1_1,v4,460,311,41.0
B172X1I_1_1,v5,428,354,31.0
B172X1I_1_1,v6,503,393,224.0
B172X1I_1_1,v7,495,293,217.0
B172X1I_1_1,v8,458,372,212.0
B172X1I_1_1,v9,435,410,196.0
B172X1I_1_1,v10,502,507,97.0
B173X9I_1_1,v0,270,324,81.0
B173X9I_1_1,v1,480,300,70.0
B173X9I_1_1,v2,381,277,61.0
B173X9I_1_1,v3,383,251,45.0
B173X9I_1_1,v4,267,438,355.0
B173X9I_1_1,v5,358,382,300.0
B173X9I_1_1,v6,421,315,247.0
B173X9I_1_1,v7,280,350,243.0
B173X9I_1_1,v8,280,408,178.0
B173X9I_1_1,v9,312,358,148.0
B173X9I_1_1,v10,361,415,137.0
B173X9I_1_1,v11,345,376,135.0
B173X9I_1_1,v12,349,352,129.0
B173X9I_1_1,v13,368,361,120.0
B173X9I_1_1,v14,346,323,122.0
B173X9I_1_1,v15,391,414,117.0
B173X9I_1_1,v16,384,375,117.0
B173X9I_1_1,v17,423,361,99.0
B173X9I_1_1,v18,453,384,97.0
B173X9I_1_1,v19,354,299,95.0
B173X9I_1_1,v20,403,330,95.0
B175X6I_1_1,v0,482,445,9.0
B175X6I_1_1,v1,451,408,347.0
B175X6I_1_1,v2,433,469,342.0
B175X6I_1_1,v3,421,392,334.0
B175X6I_1_1,v4,394,468,322.0
B175X6I_1_1,v5,266,421,319.0
B175X6I_1_1,v6,325,474,312.0
B175X6I_1_1,v7,237,477,313.0
B175X6I_1_1,v8,381,344,315.0
B175X6I_1_1,v9,269,347,313.0
B175X6I_1_1,v10,449,377,152.0
B175X6I_1_1,v11,410,464,150.0
B175X6I_1_1,v12,258,507,135.0
B175X6I_1_1,v13,331,479,135.0
B175X6I_1_1,v14,255,435,132.0
B175X6I_1_1,v15,424,542,126.0
B175X6I_1_1,v16,342,502,127.0
B175X6I_1_1,v17,448,598,122.0
B175X6I_1_1,v18,414,583,121.0
B175X6I_1_1,v19,448,577,121.0
B176X7I_1_1,v0,529,430,77.0
B176X7I_1_1,v1,473,398,68.0
B176X7I_1_1,v2,501,351,50.0
B176X7I_1_1,v3,477,360,45.0
B176X7I_1_1,v4,538,406,34.0
B176X7I_1_1,v5,598,501,351.0
B176X7I_1_1,v6,540,527,344.0
B176X7I_1_1,v7,547,468,322.0
B176X7I_1_1,v8,519,482,315.0
B176X7I_1_1,v9,502,501,311.0
B176X7I_1_1,v10,553,400,220.0
B176X7I_1_1,v11,579,449,207.0
B176X7I_1_1,v12,382,429,169.0
B176X7I_1_1,v13,406,452,159.0
B176X7I_1_1,v14,572,461,152.0
B176X7I_1_1,v15,552,452,150.0
B177X6I_1_1,v0,436,636,76.0
B177X6I_1_1,v1,429,570,20.0
B177X6I_1_1,v2,399,512,21.0
B177X6I_1_1,v3,387,557,5.0
B177X6I_1_1,v4,373,462,357.0
B177X6I_1_1,v5,349,434,354.0
B177X6I_1_1,v6,376,399,354.0
B177X6I_1_1,v7,291,364,345.0
B177X6I_1_1,v8,312,426,343.0
B177X6I_1_1,v9,321,526,341.0
B177X6I_1_1,v10,377,279,339.0
B177X6I_1_1,v11,422,443,181.0
B177X6I_1_1,v12,262,557,126.0
B177X6I_1_1,v13,270,581,124.0
B179X2I_1_1,v0,458,372,84.0
B179X2I_1_1,v1,408,440,76.0
B179X2I_1_1,v2,446,408,72.0
B179X2I_1_1,v3,486,429,58.0
B179X2I_1_1,v4,427,500,51.0
B179X2I_1_1,v5,498,429,47.0
B179X2I_1_1,v6,384,510,329.0
B179X2I_1_1,v7,360,513,329.0
B179X2I_1_1,v8,351,481,319.0
B179X2I_1_1,v9,333,492,317.0
B179X2I_1_1,v10,313,452,308.0
B179X2I_1_1,v11,443,518,229.0
B179X2I_1_1,v12,420,515,217.0
B179X2I_1_1,v13,469,535,208.0
B179X2I_1_1,v14,427,536,198.0
B179X2I_1_1,v15,369,449,133.0
B179X2I_1_1,v16,336,421,128.0
B179X2I_1_1,v17,403,418,96.0
B180X4I_1_1,v0,346,406,67.0
B180X4I_1_1,v1,332,382,356.0
B180X4I_1_1,v2,340,322,353.0
B180X4I_1_1,v3,325,364,345.0
B180X4I_1_1,v4,411,315,211.0
B180X4I_1_1,v5,356,383,187.0
B180X4I_1_1,v6,360,296,182.0
B180X4I_1_1,v7,334,396,112.0
B181X8I_1_1,v0,435,348,88.0
B181X8I_1_1,v1,464,254,74.0
B181X8I_1_1,v2,448,292,78.0
B181X8I_1_1,v3,474,369,70.0
B181X8I_1_1,v4,421,227,63.0
B181X8I_1_1,v5,485,320,65.0
B181X8I_1_1,v6,456,385,63.0
B181X8I_1_1,v7,455,394,67.0
B181X8I_1_1,v8,472,215,61.0
B181X8I_1_1,v9,382,230,54.0
B181X8I_1_1,v10,397,201,39.0
B181X8I_1_1,v11,349,244,34.0
B181X8I_1_1,v12,357,209,21.0
B181X8I_1_1,v13,505,577,10.0
B181X8I_1_1,v14,517,319,247.0
B181X8I_1_1,v15,459,256,245.0
B181X8I_1_1,v16,362,251,209.0
B181X8I_1_1,v17,513,498,193.0
B181X8I_1_1,v18,493,474,191.0
B181X8I_1_1,v19,483,556,172.0
B181X8I_1_1,v20,414,416,115.0
B181X8I_1_1,v21,455,430,113.0
B182X7I_1_1,v0,406,377,87.0
B182X7I_1_1,v1,434,415,88.0
B182X7I_1_1,v2,476,432,73.0
B182X7I_1_1,v3,472,398,69.0
B182X7I_1_1,v4,410,333,71.0
B182X7I_1_1,v5,442,336,69.0
B182X7I_1_1,v6,453,381,70.0
B182X7I_1_1,v7,446,285,56.0
B182X7I_1_1,v8,444,501,329.0
B182X7I_1_1,v9,466,472,324.0
B182X7I_1_1,v10,442,487,309.0
B182X7I_1_1,v11,424,485,309.0
B182X7I_1_1,v12,347,443,299.0
B182X7I_1_1,v13,437,431,272.0
B182X7I_1_1,v14,413,431,266.0
B182X7I_1_1,v15,393,422,106.0
B182X7I_1_1,v16,360,365,93.0
B183X1I_1_1,v0,320,328,88.0
B183X1I_1_1,v1,341,312,86.0
B183X1I_1_1,v2,353,301,75.0
B183X1I_1_1,v3,366,301,74.0
B183X1I_1_1,v4,371,289,69.0
B183X1I_1_1,v5,386,423,62.0
B183X1I_1_1,v6,427,342,64.0
B183X1I_1_1,v7,330,420,62.0
B183X1I_1_1,v8,387,402,56.0
B183X1I_1_1,v9,428,391,51.0
B183X1I_1_1,v10,331,297,312.0
B183X1I_1_1,v11,329,402,261.0
B183X1I_1_1,v12,444,427,243.0
B183X1I_1_1,v13,392,452,244.0
B183X1I_1_1,v14,353,462,241.0
B183X1I_1_1,v15,421,426,238.0
B183X1I_1_1,v16,500,438,231.0
B183X1I_1_1,v17,426,469,228.0
B183X1I_1_1,v18,541,446,221.0
B183X1I_1_1,v19,500,452,220.0
B183X1I_1_1,v20,500,480,209.0
B183X1I_1_1,v21,618,449,189.0
B183X1I_1_1,v22,552,501,187.0
B183X1I_1_1,v23,604,484,183.0
B183X1I_1_1,v24,667,445,180.0
B185X7I_1_1,v0,420,412,76.0
B185X7I_1_1,v1,440,393,71.0
B185X7I_1_1,v2,441,369,52.0
B185X7I_1_1,v3,403,385,55.0
B185X7I_1_1,v4,502,378,47.0
B185X7I_1_1,v5,469,359,46.0
B185X7I_1_1,v6,330,373,304.0
B185X7I_1_1,v7,343,427,284.0
B185X7I_1_1,v8,436,417,248.0
B185X7I_1_1,v9,336,385,107.0
B187X2I_1_1,v0,378,429,348.0
B187X2I_1_1,v1,390,504,339.0
B187X2I_1_1,v2,373,472,318.0
B187X2I_1_1,v3,472,432,218.0
B187X2I_1_1,v4,484,394,218.0
B187X2I_1_1,v5,476,357,216.0
B187X2I_1_1,v6,444,488,214.0
B187X2I_1_1,v7,500,495,210.0
B187X2I_1_1,v8,490,259,212.0
B187X2I_1_1,v9,436,498,197.0
B187X2I_1_1,v10,533,488,199.0
B187X2I_1_1,v11,422,508,160.0
B188X7I_1_1,v0,403,397,88.0
B188X7I_1_1,v1,522,447,89.0
B188X7I_1_1,v2,458,392,88.0
B188X7I_1_1,v3,468,377,86.0
B188X7I_1_1,v4,477,379,73.0
B188X7I_1_1,v5,515,379,67.0
B188X7I_1_1,v6,500,379,65.0
B188X7I_1_1,v7,398,367,25.0
B188X7I_1_1,v8,412,427,277.0
B188X7I_1_1,v9,431,409,253.0
B188X7I_1_1,v10,413,396,229.0
B188X7I_1_1,v11,473,481,120.0
B188X7I_1_1,v12,379,400,114.0
B188X7I_1_1,v13,392,409,110.0
B189X7I_1_1,v0,370,402,79.0
B189X7I_1_1,v1,374,375,60.0
B189X7I_1_1,v2,382,363,53.0
B189X7I_1_1,v3,434,360,48.0
B189X7I_1_1,v4,411,537,340.0
