fingerprint,X,Y,Angle,Type
B141X4I_1_1,280,335,307.0,Bifurcation
B141X4I_1_1,313,572,189.0,End
B141X4I_1_1,425,381,166.0,End
B141X4I_1_1,333,270,150.0,Bifurcation
B141X4I_1_1,394,339,144.0,End
B141X4I_1_1,291,258,130.0,End
B141X4I_1_1,298,322,124.0,Bifurcation
B141X4I_1_1,332,345,122.0,End
B141X4I_1_1,257,501,112.0,Bifurcation
B141X4I_1_1,353,383,110.0,End
B141X4I_1_1,310,425,102.0,End
B141X4I_1_1,399,393,105.0,End
B141X4I_1_1,357,414,99.0,End
B141X4I_1_1,285,502,96.0,Bifurcation
B141X4I_1_1,314,469,91.0,Bifurcation
B142X1I_1_1,402,436,88.0,Bifurcation
B142X1I_1_1,354,501,81.0,End
B142X1I_1_1,426,441,77.0,Bifurcation
B142X1I_1_1,382,497,69.0,End
B142X1I_1_1,398,518,54.0,End
B142X1I_1_1,436,512,47.0,End
B142X1I_1_1,455,452,42.0,Bifurcation
B142X1I_1_1,283,573,353.0,End
B142X1I_1_1,363,469,273.0,End
B142X1I_1_1,392,528,249.0,End
B142X1I_1_1,388,578,233.0,Bifurcation
B142X1I_1_1,451,483,236.0,End
B142X1I_1_1,434,560,228.0,End
B142X1I_1_1,358,567,221.0,End
B142X1I_1_1,467,378,188.0,Bifurcation
B142X1I_1_1,447,346,191.0,Bifurcation
B142X1I_1_1,466,393,186.0,Bifurcation
B142X1I_1_1,411,327,164.0,End
B142X1I_1_1,411,353,159.0,End
B142X1I_1_1,457,403,159.0,Bifurcation
B142X1I_1_1,353,386,126.0,End
B142X1I_1_1,361,417,114.0,End
B142X1I_1_1,415,408,99.0,Bifurcation
B142X1I_1_1,382,431,96.0,End
B142X1I_1_1,335,458,94.0,End
B142X1I_1_1,348,464,90.0,End
B143X6I_1_1,461,322,82.0,Bifurcation
B143X6I_1_1,293,351,79.0,End
B143X6I_1_1,441,307,77.0,Bifurcation
B143X6I_1_1,470,290,61.0,Bifurcation
B143X6I_1_1,412,276,340.0,Bifurcation
B143X6I_1_1,390,179,333.0,End
B143X6I_1_1,520,500,325.0,Bifurcation
B143X6I_1_1,540,482,310.0,End
B143X6I_1_1,388,429,309.0,End
B143X6I_1_1,535,460,294.0,End
B143X6I_1_1,443,441,294.0,End
B143X6I_1_1,448,409,286.0,End
B143X6I_1_1,348,422,214.0,End
B143X6I_1_1,349,463,191.0,Bifurcation
B143X6I_1_1,396,388,151.0,Bifurcation
B143X6I_1_1,389,365,147.0,End
B143X6I_1_1,393,413,137.0,End
B143X6I_1_1,416,350,127.0,Bifurcation
B143X6I_1_1,430,425,117.0,End
B143X6I_1_1,427,386,111.0,End
B143X6I_1_1,432,318,100.0,End
B143X6I_1_1,436,341,97.0,End
B143X6I_1_1,539,358,91.0,End
B143X6I_1_1,250,318,95.0,Bifurcation
B144X3I_1_1,421,445,77.0,End
B144X3I_1_1,414,409,71.0,End
B144X3I_1_1,476,336,67.0,End
B144X3I_1_1,444,296,40.0,End
B144X3I_1_1,378,258,352.0,Bifurcation
B144X3I_1_1,497,454,243.0,Bifurcation
B144X3I_1_1,502,345,247.0,End
B144X3I_1_1,473,303,221.0,End
B144X3I_1_1,457,324,214.0,End
B144X3I_1_1,435,302,203.0,End
B144X3I_1_1,421,376,192.0,Bifurcation
B144X3I_1_1,417,322,187.0,End
B144X3I_1_1,427,276,187.0,End
B144X3I_1_1,363,362,110.0,End
B144X3I_1_1,382,366,103.0,Bifurcation
B145X8I_1_1,446,359,85.0,Bifurcation
B145X8I_1_1,423,335,76.0,Bifurcation
B145X8I_1_1,434,298,63.0,Bifurcation
B145X8I_1_1,509,295,59.0,Bifurcation
B145X8I_1_1,341,321,329.0,Bifurcation
B145X8I_1_1,426,437,299.0,End
B145X8I_1_1,351,431,291.0,End
B145X8I_1_1,339,393,286.0,End
B145X8I_1_1,405,414,285.0,End
B145X8I_1_1,377,410,279.0,Bifurcation
B145X8I_1_1,513,283,240.0,End
B145X8I_1_1,526,371,240.0,End
B145X8I_1_1,550,368,231.0,End
B145X8I_1_1,511,389,227.0,End
B145X8I_1_1,545,405,215.0,End
B145X8I_1_1,572,434,209.0,Bifurcation
B145X8I_1_1,491,402,166.0,End
B145X8I_1_1,497,429,142.0,Bifurcation
B145X8I_1_1,305,331,117.0,Bifurcation
B145X8I_1_1,359,389,103.0,End
B145X8I_1_1,368,382,97.0,End
B146X6I_1_1,454,425,50.0,Bifurcation
B146X6I_1_1,446,391,42.0,Bifurcation
B146X6I_1_1,468,394,37.0,End
B146X6I_1_1,482,367,34.0,End
B146X6I_1_1,501,427,39.0,End
B146X6I_1_1,414,335,14.0,End
B146X6I_1_1,335,276,4.0,Bifurcation
B146X6I_1_1,321,244,0.0,End
B146X6I_1_1,412,269,353.0,Bifurcation
B146X6I_1_1,391,238,347.0,Bifurcation
B146X6I_1_1,558,345,220.0,End
B146X6I_1_1,520,434,216.0,End
B147X7I_1_1,444,459,27.0,Bifurcation
B147X7I_1_1,416,476,3.0,Bifurcation
B147X7I_1_1,387,493,354.0,Bifurcation
B147X7I_1_1,387,412,321.0,End
B147X7I_1_1,349,474,320.0,Bifurcation
B147X7I_1_1,329,484,317.0,Bifurcation
B147X7I_1_1,474,431,202.0,End
B148X6I_1_1,550,423,81.0,Bifurcation
B148X6I_1_1,560,420,71.0,End
B148X6I_1_1,576,402,67.0,End
B148X6I_1_1,594,389,55.0,End
B148X6I_1_1,521,311,50.0,End
B148X6I_1_1,635,626,5.0,End
B148X6I_1_1,642,609,355.0,End
B148X6I_1_1,548,611,357.0,Bifurcation
B148X6I_1_1,622,591,349.0,End
B148X6I_1_1,517,600,352.0,End
B148X6I_1_1,281,567,354.0,End
B148X6I_1_1,624,563,348.0,Bifurcation
B148X6I_1_1,380,522,339.0,End
B148X6I_1_1,285,489,342.0,End
B148X6I_1_1,585,568,337.0,End
B148X6I_1_1,556,559,335.0,End
B148X6I_1_1,518,585,336.0,End
B148X6I_1_1,246,477,333.0,End
B148X6I_1_1,441,536,325.0,Bifurcation
B148X6I_1_1,533,569,322.0,End
B148X6I_1_1,505,570,323.0,End
B148X6I_1_1,476,571,317.0,End
B148X6I_1_1,578,501,316.0,End
B148X6I_1_1,397,458,310.0,End
B148X6I_1_1,615,475,218.0,End
B148X6I_1_1,670,478,214.0,End
B148X6I_1_1,649,501,212.0,End
B148X6I_1_1,620,495,204.0,End
B148X6I_1_1,667,525,192.0,End
B148X6I_1_1,628,511,188.0,End
B148X6I_1_1,653,585,170.0,End
B148X6I_1_1,652,550,159.0,End
B148X6I_1_1,368,551,152.0,Bifurcation
B148X6I_1_1,625,539,157.0,End
B148X6I_1_1,360,452,151.0,End
B148X6I_1_1,399,546,148.0,End
B148X6I_1_1,470,529,145.0,End
B148X6I_1_1,496,396,112.0,End
B148X6I_1_1,527,431,101.0,Bifurcation
B150X3I_1_1,750,402,83.0,End
B150X3I_1_1,609,437,74.0,Bifurcation
B150X3I_1_1,699,372,56.0,Bifurcation
B150X3I_1_1,661,414,45.0,End
B150X3I_1_1,721,408,259.0,Bifurcation
B150X3I_1_1,740,440,254.0,End
B150X3I_1_1,710,389,243.0,Bifurcation
B150X3I_1_1,723,424,233.0,End
B150X3I_1_1,745,468,229.0,Bifurcation
B150X3I_1_1,775,509,207.0,End
B150X3I_1_1,738,490,208.0,End
B150X3I_1_1,705,488,201.0,End
B150X3I_1_1,733,504,193.0,Bifurcation
B150X3I_1_1,667,335,123.0,Bifurcation
B150X3I_1_1,614,343,110.0,End
B150X3I_1_1,651,362,102.0,End
B151X9I_1_1,412,521,58.0,Bifurcation
B151X9I_1_1,472,475,49.0,Bifurcation
B151X9I_1_1,501,441,38.0,Bifurcation
B151X9I_1_1,535,385,27.0,Bifurcation
B151X9I_1_1,468,365,10.0,End
B151X9I_1_1,379,424,333.0,End
B151X9I_1_1,472,307,180.0,End
B151X9I_1_1,479,362,185.0,End
B151X9I_1_1,425,405,156.0,Bifurcation
B151X9I_1_1,458,542,150.0,Bifurcation
B151X9I_1_1,390,460,144.0,Bifurcation
B151X9I_1_1,393,506,117.0,End
B152X8I_1_1,464,316,43.0,End
B152X8I_1_1,455,394,36.0,Bifurcation
B152X8I_1_1,420,451,15.0,End
B152X8I_1_1,422,423,11.0,End
B152X8I_1_1,466,514,352.0,Bifurcation
B152X8I_1_1,421,381,345.0,Bifurcation
B152X8I_1_1,330,326,310.0,End
B152X8I_1_1,364,331,314.0,Bifurcation
B152X8I_1_1,366,422,307.0,End
B152X8I_1_1,393,433,308.0,Bifurcation
B152X8I_1_1,281,309,309.0,End
B152X8I_1_1,323,282,307.0,End
B152X8I_1_1,396,517,301.0,End
B152X8I_1_1,341,419,298.0,Bifurcation
B152X8I_1_1,463,485,234.0,End
B152X8I_1_1,476,485,230.0,End
B152X8I_1_1,486,406,219.0,End
B152X8I_1_1,475,337,210.0,End
B152X8I_1_1,474,371,198.0,End
B152X8I_1_1,514,506,200.0,End
B152X8I_1_1,497,508,172.0,Bifurcation
B152X8I_1_1,427,296,155.0,Bifurcation
B152X8I_1_1,343,308,129.0,End
B152X8I_1_1,378,289,126.0,End
B152X8I_1_1,407,472,125.0,Bifurcation
B152X8I_1_1,316,270,123.0,Bifurcation
B152X8I_1_1,419,480,114.0,Bifurcation
B153X1I_1_1,536,297,72.0,End
B153X1I_1_1,452,437,68.0,End
B153X1I_1_1,322,494,71.0,End
B153X1I_1_1,530,427,63.0,Bifurcation
B153X1I_1_1,548,403,59.0,End
B153X1I_1_1,595,380,55.0,Bifurcation
B153X1I_1_1,588,397,56.0,Bifurcation
B153X1I_1_1,543,351,256.0,End
B153X1I_1_1,347,513,244.0,End
B153X1I_1_1,495,486,242.0,End
B153X1I_1_1,437,499,245.0,Bifurcation
B153X1I_1_1,336,436,192.0,End
B153X1I_1_1,332,467,160.0,Bifurcation
B154X6I_1_1,286,449,81.0,End
B154X6I_1_1,420,127,342.0,End
B154X6I_1_1,351,279,315.0,Bifurcation
B154X6I_1_1,351,161,315.0,End
B154X6I_1_1,345,502,312.0,End
B154X6I_1_1,358,504,307.0,End
B154X6I_1_1,333,289,295.0,Bifurcation
B154X6I_1_1,379,467,283.0,Bifurcation
B154X6I_1_1,469,442,276.0,End
B154X6I_1_1,281,377,276.0,Bifurcation
B154X6I_1_1,343,423,274.0,Bifurcation
B154X6I_1_1,342,465,272.0,End
B154X6I_1_1,341,481,256.0,End
B154X6I_1_1,339,502,217.0,End
B154X6I_1_1,355,141,138.0,Bifurcation
B154X6I_1_1,328,271,122.0,End
B154X6I_1_1,471,369,105.0,End
B154X6I_1_1,459,360,97.0,End
B154X6I_1_1,255,347,101.0,End
B154X6I_1_1,472,386,92.0,End
B154X6I_1_1,535,433,93.0,End
B155X6I_1_1,299,400,89.0,End
B155X6I_1_1,268,457,80.0,End
B155X6I_1_1,503,302,34.0,Bifurcation
B155X6I_1_1,484,262,24.0,End
B155X6I_1_1,444,292,7.0,Bifurcation
B155X6I_1_1,471,214,10.0,Bifurcation
B155X6I_1_1,438,221,5.0,End
B155X6I_1_1,407,283,350.0,Bifurcation
B155X6I_1_1,368,211,352.0,End
B155X6I_1_1,402,301,346.0,End
B155X6I_1_1,339,144,339.0,Bifurcation
B155X6I_1_1,339,323,307.0,End
B155X6I_1_1,381,391,300.0,End
B155X6I_1_1,304,385,282.0,End
B155X6I_1_1,310,454,271.0,Bifurcation
B155X6I_1_1,360,515,265.0,End
B155X6I_1_1,343,490,269.0,End
B155X6I_1_1,305,483,260.0,Bifurcation
B155X6I_1_1,272,478,255.0,Bifurcation
B155X6I_1_1,282,494,236.0,Bifurcation
B155X6I_1_1,328,557,231.0,Bifurcation
B155X6I_1_1,481,241,192.0,Bifurcation
B155X6I_1_1,462,278,182.0,Bifurcation
B155X6I_1_1,391,263,152.0,End
B155X6I_1_1,340,207,144.0,Bifurcation
B155X6I_1_1,319,296,107.0,End
B155X6I_1_1,338,356,100.0,End
B155X6I_1_1,279,421,91.0,End
B157X7I_1_1,366,428,87.0,End
B157X7I_1_1,347,396,63.0,End
B157X7I_1_1,370,372,51.0,End
B157X7I_1_1,458,427,55.0,End
B157X7I_1_1,361,382,56.0,End
B157X7I_1_1,414,365,46.0,End
B157X7I_1_1,377,357,32.0,End
B157X7I_1_1,459,591,289.0,End
B157X7I_1_1,445,563,271.0,End
B157X7I_1_1,455,456,245.0,End
B157X7I_1_1,339,415,108.0,Bifurcation
B157X7I_1_1,353,421,92.0,End
B158X8I_1_1,292,553,84.0,Bifurcation
B158X8I_1_1,306,561,71.0,Bifurcation
B158X8I_1_1,409,400,20.0,Bifurcation
B158X8I_1_1,344,622,3.0,End
B158X8I_1_1,362,586,0.0,Bifurcation
B158X8I_1_1,387,439,330.0,Bifurcation
B158X8I_1_1,321,382,323.0,Bifurcation
B158X8I_1_1,368,425,325.0,End
B158X8I_1_1,343,429,306.0,End
B158X8I_1_1,291,613,230.0,Bifurcation
B158X8I_1_1,357,603,214.0,Bifurcation
B158X8I_1_1,335,633,216.0,End
B158X8I_1_1,325,646,208.0,End
B158X8I_1_1,400,574,153.0,Bifurcation
B158X8I_1_1,414,591,130.0,Bifurcation
B158X8I_1_1,410,513,112.0,Bifurcation
B158X8I_1_1,316,454,108.0,Bifurcation
B158X8I_1_1,398,476,102.0,End
B161X1I_1_1,373,372,66.0,End
B161X1I_1_1,391,353,67.0,End
B161X1I_1_1,295,358,58.0,End
B161X1I_1_1,447,331,55.0,End
B161X1I_1_1,487,173,46.0,End
B161X1I_1_1,398,575,353.0,End
B161X1I_1_1,346,477,337.0,End
B161X1I_1_1,404,297,229.0,End
B161X1I_1_1,527,285,226.0,End
B161X1I_1_1,510,171,226.0,Bifurcation
B161X1I_1_1,314,384,229.0,End
B161X1I_1_1,530,119,230.0,End
B161X1I_1_1,477,327,229.0,End
B161X1I_1_1,340,351,224.0,End
B161X1I_1_1,385,466,202.0,End
B161X1I_1_1,460,502,186.0,End
B161X1I_1_1,373,562,176.0,End
B161X1I_1_1,426,538,173.0,End
B161X1I_1_1,281,330,136.0,End
B163X7I_1_1,378,315,52.0,Bifurcation
B163X7I_1_1,384,272,37.0,End
B163X7I_1_1,398,255,33.0,End
B163X7I_1_1,393,204,18.0,Bifurcation
B163X7I_1_1,352,196,356.0,End
B163X7I_1_1,322,294,351.0,End
B163X7I_1_1,334,201,343.0,Bifurcation
B163X7I_1_1,306,276,333.0,Bifurcation
B163X7I_1_1,435,197,203.0,End
B163X7I_1_1,393,229,192.0,Bifurcation
B163X7I_1_1,276,309,129.0,Bifurcation
B163X7I_1_1,321,380,119.0,End
B163X7I_1_1,339,402,106.0,End
B164X3I_1_1,410,387,85.0,Bifurcation
B164X3I_1_1,421,378,80.0,End
B164X3I_1_1,480,393,31.0,End
B164X3I_1_1,414,450,9.0,End
B164X3I_1_1,382,490,350.0,End
B164X3I_1_1,338,506,339.0,End
B164X3I_1_1,339,482,326.0,End
B164X3I_1_1,371,462,315.0,Bifurcation
B164X3I_1_1,304,474,311.0,End
B164X3I_1_1,347,465,311.0,Bifurcation
B164X3I_1_1,296,362,298.0,End
B164X3I_1_1,468,442,213.0,End
B164X3I_1_1,435,446,204.0,End
B164X3I_1_1,526,443,195.0,End
B164X3I_1_1,473,484,190.0,End
B164X3I_1_1,456,505,187.0,End
B164X3I_1_1,334,339,112.0,Bifurcation
B164X3I_1_1,375,392,100.0,End
B164X3I_1_1,388,356,93.0,End
B164X3I_1_1,394,412,94.0,Bifurcation
B165X7I_1_1,322,617,344.0,End
B165X7I_1_1,272,547,329.0,End
B165X7I_1_1,246,547,322.0,End
B165X7I_1_1,237,537,310.0,End
B165X7I_1_1,387,526,209.0,End
B165X7I_1_1,352,512,205.0,End
B165X7I_1_1,311,519,197.0,End
B165X7I_1_1,362,543,195.0,End
B165X7I_1_1,328,533,190.0,Bifurcation
B165X7I_1_1,414,613,191.0,End
B165X7I_1_1,348,545,179.0,End
B165X7I_1_1,340,562,170.0,End
B165X7I_1_1,401,633,171.0,Bifurcation
B165X7I_1_1,295,529,162.0,End
B166X3I_1_1,435,434,44.0,End
B166X3I_1_1,457,264,23.0,End
B166X3I_1_1,374,403,308.0,Bifurcation
B166X3I_1_1,383,458,276.0,Bifurcation
B166X3I_1_1,485,363,209.0,End
B166X3I_1_1,452,391,211.0,Bifurcation
B166X3I_1_1,463,310,204.0,Bifurcation
B166X3I_1_1,405,328,166.0,End
B166X3I_1_1,410,345,156.0,End
B166X3I_1_1,420,377,155.0,Bifurcation
B166X3I_1_1,429,416,111.0,Bifurcation
B167X2I_1_1,444,386,87.0,End
B167X2I_1_1,427,409,85.0,Bifurcation
B167X2I_1_1,470,336,59.0,End
B167X2I_1_1,368,430,274.0,Bifurcation
B167X2I_1_1,438,445,266.0,End
B167X2I_1_1,504,347,233.0,End
B167X2I_1_1,361,282,133.0,Bifurcation
B167X2I_1_1,447,334,125.0,End
B167X2I_1_1,316,392,112.0,End
B167X2I_1_1,462,354,90.0,End
B167X2I_1_1,362,401,94.0,Bifurcation
B168X1I_1_1,316,434,85.0,Bifurcation
B168X1I_1_1,197,530,80.0,Bifurcation
B168X1I_1_1,330,429,74.0,Bifurcation
B168X1I_1_1,259,465,77.0,Bifurcation
B168X1I_1_1,510,411,67.0,End
B168X1I_1_1,401,412,64.0,End
B168X1I_1_1,351,445,58.0,Bifurcation
B168X1I_1_1,429,362,48.0,Bifurcation
B168X1I_1_1,283,486,260.0,Bifurcation
B168X1I_1_1,527,438,251.0,Bifurcation
B168X1I_1_1,538,484,242.0,End
B168X1I_1_1,333,522,238.0,End
B168X1I_1_1,488,414,239.0,End
B168X1I_1_1,325,536,234.0,End
B168X1I_1_1,289,562,227.0,End
B168X1I_1_1,409,527,230.0,End
B168X1I_1_1,381,536,230.0,End
B168X1I_1_1,233,572,225.0,Bifurcation
B168X1I_1_1,342,561,216.0,Bifurcation
B168X1I_1_1,275,570,215.0,Bifurcation
B168X1I_1_1,397,560,210.0,Bifurcation
B168X1I_1_1,370,574,212.0,End
B168X1I_1_1,231,590,203.0,End
B168X1I_1_1,442,592,199.0,End
B168X1I_1_1,288,593,198.0,End
B168X1I_1_1,312,406,109.0,Bifurcation
B168X1I_1_1,233,446,99.0,End
B168X1I_1_1,214,484,94.0,End
B168X1I_1_1,281,432,95.0,Bifurcation
B168X1I_1_1,248,468,90.0,Bifurcation
B169X2I_1_1,460,368,72.0,End
B169X2I_1_1,455,357,40.0,Bifurcation
B169X2I_1_1,373,318,320.0,Bifurcation
B169X2I_1_1,364,357,297.0,Bifurcation
B169X2I_1_1,488,406,255.0,End
B169X2I_1_1,503,336,228.0,End
B169X2I_1_1,466,271,185.0,End
B169X2I_1_1,451,297,171.0,End
B169X2I_1_1,392,282,149.0,End
B169X2I_1_1,437,321,139.0,End
B169X2I_1_1,389,317,138.0,End
B169X2I_1_1,459,329,139.0,End
B169X2I_1_1,388,329,113.0,Bifurcation
B169X2I_1_1,428,369,93.0,Bifurcation
B170X7I_1_1,377,526,87.0,End
B170X7I_1_1,422,528,79.0,Bifurcation
B170X7I_1_1,441,479,69.0,Bifurcation
B170X7I_1_1,462,464,66.0,Bifurcation
B170X7I_1_1,509,489,63.0,Bifurcation
B170X7I_1_1,348,505,67.0,Bifurcation
B170X7I_1_1,528,520,58.0,Bifurcation
B170X7I_1_1,358,477,51.0,End
B170X7I_1_1,474,383,54.0,Bifurcation
B170X7I_1_1,502,436,53.0,End
B170X7I_1_1,386,449,49.0,Bifurcation
B170X7I_1_1,459,403,49.0,Bifurcation
B170X7I_1_1,406,432,37.0,End
B170X7I_1_1,400,399,30.0,End
B170X7I_1_1,338,436,343.0,Bifurcation
B170X7I_1_1,316,475,323.0,Bifurcation
B170X7I_1_1,327,488,322.0,Bifurcation
B170X7I_1_1,499,560,246.0,End
B170X7I_1_1,471,426,227.0,Bifurcation
B170X7I_1_1,400,453,211.0,Bifurcation
B170X7I_1_1,334,514,103.0,Bifurcation
B170X7I_1_1,348,521,99.0,End
B170X7I_1_1,358,555,100.0,End
B171X7I_1_1,445,445,75.0,End
B171X7I_1_1,439,405,76.0,Bifurcation
B171X7I_1_1,413,373,77.0,End
B171X7I_1_1,469,403,65.0,End
B171X7I_1_1,452,353,65.0,End
B171X7I_1_1,399,341,62.0,Bifurcation
B171X7I_1_1,497,363,56.0,End
B171X7I_1_1,397,297,49.0,Bifurcation
B171X7I_1_1,417,323,50.0,End
B171X7I_1_1,473,294,48.0,End
B171X7I_1_1,551,433,243.0,End
B171X7I_1_1,501,469,246.0,End
B171X7I_1_1,516,511,237.0,End
B171X7I_1_1,460,315,235.0,End
B171X7I_1_1,499,617,232.0,Bifurcation
B171X7I_1_1,510,578,230.0,End
B171X7I_1_1,462,499,222.0,End
B171X7I_1_1,457,511,209.0,End
B171X7I_1_1,431,473,108.0,End
B171X7I_1_1,410,439,97.0,End
B171X7I_1_1,393,391,94.0,End
B172X1I_1_1,545,487,74.0,End
B172X1I_1_1,529,431,64.0,End
B172X1I_1_1,415,466,61.0,End
B172X1I_1_1,498,276,40.0,Bifurcation
B172X1I_1_1,460,311,41.0,Bifurcation
B172X1I_1_1,428,354,31.0,End
B172X1I_1_1,503,393,224.0,End
B172X1I_1_1,495,293,217.0,End
B172X1I_1_1,458,372,212.0,End
B172X1I_1_1,435,410,196.0,End
B172X1I_1_1,502,507,97.0,Bifurcation
B173X9I_1_1,270,324,81.0,Bifurcation
B173X9I_1_1,480,300,70.0,Bifurcation
B173X9I_1_1,381,277,61.0,Bifurcation
B173X9I_1_1,383,251,45.0,End
B173X9I_1_1,267,438,355.0,Bifurcation
B173X9I_1_1,358,382,300.0,End
B173X9I_1_1,421,315,247.0,Bifurcation
B173X9I_1_1,280,350,243.0,Bifurcation
B173X9I_1_1,280,408,178.0,End
B173X9I_1_1,312,358,148.0,Bifurcation
B173X9I_1_1,361,415,137.0,End
B173X9I_1_1,345,376,135.0,Bifurcation
B173X9I_1_1,349,352,129.0,Bifurcation
B173X9I_1_1,368,361,120.0,Bifurcation
B173X9I_1_1,346,323,122.0,End
B173X9I_1_1,391,414,117.0,End
B173X9I_1_1,384,375,117.0,Bifurcation
B173X9I_1_1,423,361,99.0,Bifurcation
B173X9I_1_1,453,384,97.0,End
B173X9I_1_1,354,299,95.0,Bifurcation
B173X9I_1_1,403,330,95.0,Bifurcation
B175X6I_1_1,482,445,9.0,End
B175X6I_1_1,451,408,347.0,Bifurcation
B175X6I_1_1,433,469,342.0,Bifurcation
B175X6I_1_1,421,392,334.0,Bifurcation
B175X6I_1_1,394,468,322.0,Bifurcation
B175X6I_1_1,266,421,319.0,End
B175X6I_1_1,325,474,312.0,Bifurcation
B175X6I_1_1,237,477,313.0,Bifurcation
B175X6I_1_1,381,344,315.0,End
B175X6I_1_1,269,347,313.0,End
B175X6I_1_1,449,377,152.0,Bifurcation
B175X6I_1_1,410,464,150.0,End
B175X6I_1_1,258,507,135.0,End
B175X6I_1_1,331,479,135.0,End
B175X6I_1_1,255,435,132.0,End
B175X6I_1_1,424,542,126.0,End
B175X6I_1_1,342,502,127.0,End
B175X6I_1_1,448,598,122.0,Bifurcation
B175X6I_1_1,414,583,121.0,Bifurcation
B175X6I_1_1,448,577,121.0,Bifurcation
B176X7I_1_1,529,430,77.0,Bifurcation
B176X7I_1_1,473,398,68.0,End
B176X7I_1_1,501,351,50.0,End
B176X7I_1_1,477,360,45.0,End
B176X7I_1_1,538,406,34.0,End
B176X7I_1_1,598,501,351.0,End
B176X7I_1_1,540,527,344.0,End
B176X7I_1_1,547,468,322.0,Bifurcation
B176X7I_1_1,519,482,315.0,End
B176X7I_1_1,502,501,311.0,Bifurcation
B176X7I_1_1,553,400,220.0,End
B176X7I_1_1,579,449,207.0,Bifurcation
B176X7I_1_1,382,429,169.0,End
B176X7I_1_1,406,452,159.0,Bifurcation
B176X7I_1_1,572,461,152.0,End
B176X7I_1_1,552,452,150.0,End
B177X6I_1_1,436,636,76.0,End
B177X6I_1_1,429,570,20.0,End
B177X6I_1_1,399,512,21.0,Bifurcation
B177X6I_1_1,387,557,5.0,End
B177X6I_1_1,373,462,357.0,Bifurcation
B177X6I_1_1,349,434,354.0,Bifurcation
B177X6I_1_1,376,399,354.0,Bifurcation
B177X6I_1_1,291,364,345.0,End
B177X6I_1_1,312,426,343.0,End
B177X6I_1_1,321,526,341.0,Bifurcation
B177X6I_1_1,377,279,339.0,End
B177X6I_1_1,422,443,181.0,End
B177X6I_1_1,262,557,126.0,Bifurcation
B177X6I_1_1,270,581,124.0,End
B179X2I_1_1,458,372,84.0,Bifurcation
B179X2I_1_1,408,440,76.0,End
B179X2I_1_1,446,408,72.0,End
B179X2I_1_1,486,429,58.0,End
B179X2I_1_1,427,500,51.0,End
B179X2I_1_1,498,429,47.0,Bifurcation
B179X2I_1_1,384,510,329.0,End
B179X2I_1_1,360,513,329.0,End
B179X2I_1_1,351,481,319.0,Bifurcation
B179X2I_1_1,333,492,317.0,End
B179X2I_1_1,313,452,308.0,Bifurcation
B179X2I_1_1,443,518,229.0,End
B179X2I_1_1,420,515,217.0,End
B179X2I_1_1,469,535,208.0,End
B179X2I_1_1,427,536,198.0,End
B179X2I_1_1,369,449,133.0,End
B179X2I_1_1,336,421,128.0,Bifurcation
B179X2I_1_1,403,418,96.0,Bifurcation
B180X4I_1_1,346,406,67.0,End
B180X4I_1_1,332,382,356.0,Bifurcation
B180X4I_1_1,340,322,353.0,End
B180X4I_1_1,325,364,345.0,Bifurcation
B180X4I_1_1,411,315,211.0,Bifurcation
B180X4I_1_1,356,383,187.0,End
B180X4I_1_1,360,296,182.0,Bifurcation
B180X4I_1_1,334,396,112.0,Bifurcation
B181X8I_1_1,435,348,88.0,Bifurcation
B181X8I_1_1,464,254,74.0,Bifurcation
B181X8I_1_1,448,292,78.0,End
B181X8I_1_1,474,369,70.0,End
B181X8I_1_1,421,227,63.0,End
B181X8I_1_1,485,320,65.0,End
B181X8I_1_1,456,385,63.0,End
B181X8I_1_1,455,394,67.0,End
B181X8I_1_1,472,215,61.0,Bifurcation
B181X8I_1_1,382,230,54.0,End
B181X8I_1_1,397,201,39.0,End
B181X8I_1_1,349,244,34.0,End
B181X8I_1_1,357,209,21.0,End
B181X8I_1_1,505,577,10.0,End
B181X8I_1_1,517,319,247.0,End
B181X8I_1_1,459,256,245.0,End
B181X8I_1_1,362,251,209.0,End
B181X8I_1_1,513,498,193.0,Bifurcation
B181X8I_1_1,493,474,191.0,End
B181X8I_1_1,483,556,172.0,End
B181X8I_1_1,414,416,115.0,Bifurcation
B181X8I_1_1,455,430,113.0,End
B182X7I_1_1,406,377,87.0,End
B182X7I_1_1,434,415,88.0,End
B182X7I_1_1,476,432,73.0,End
B182X7I_1_1,472,398,69.0,Bifurcation
B182X7I_1_1,410,333,71.0,End
B182X7I_1_1,442,336,69.0,Bifurcation
B182X7I_1_1,453,381,70.0,Bifurcation
B182X7I_1_1,446,285,56.0,End
B182X7I_1_1,444,501,329.0,Bifurcation
B182X7I_1_1,466,472,324.0,Bifurcation
B182X7I_1_1,442,487,309.0,End
B182X7I_1_1,424,485,309.0,End
B182X7I_1_1,347,443,299.0,End
B182X7I_1_1,437,431,272.0,Bifurcation
B182X7I_1_1,413,431,266.0,End
B182X7I_1_1,393,422,106.0,End
B182X7I_1_1,360,365,93.0,Bifurcation
B183X1I_1_1,320,328,88.0,Bifurcation
B183X1I_1_1,341,312,86.0,Bifurcation
B183X1I_1_1,353,301,75.0,End
B183X1I_1_1,366,301,74.0,Bifurcation
B183X1I_1_1,371,289,69.0,End
B183X1I_1_1,386,423,62.0,End
B183X1I_1_1,427,342,64.0,End
B183X1I_1_1,330,420,62.0,End
B183X1I_1_1,387,402,56.0,End
