"","fingerprint","minutia","x","y","angle","score_change"
"B148X6I_1_1#v6","B148X6I_1_1","v6",642,609,355,0.010497318
"B148X6I_1_1#v7","B148X6I_1_1","v7",548,611,357,-0.026289807
"B148X6I_1_1#v8","B148X6I_1_1","v8",622,591,349,-0.138613291
"B148X6I_1_1#v9","B148X6I_1_1","v9",517,600,352,-0.079780975
"B148X6I_1_1#v10","B148X6I_1_1","v10",281,567,354,0.069945109
"B148X6I_1_1#v11","B148X6I_1_1","v11",624,563,348,-0.02699326
"B148X6I_1_1#v12","B148X6I_1_1","v12",380,522,339,0.071082961
"B148X6I_1_1#v13","B148X6I_1_1","v13",285,489,342,0.13253854
"B148X6I_1_1#v14","B148X6I_1_1","v14",585,568,337,-0.185859242
"B148X6I_1_1#v15","B148X6I_1_1","v15",556,559,335,-0.101644049
"B148X6I_1_1#v16","B148X6I_1_1","v16",518,585,336,-0.013877652
"B148X6I_1_1#v17","B148X6I_1_1","v17",246,477,333,0.074466864
"B148X6I_1_1#v18","B148X6I_1_1","v18",441,536,325,0.063245679
"B148X6I_1_1#v19","B148X6I_1_1","v19",533,569,322,-0.060224617
"B148X6I_1_1#v20","B148X6I_1_1","v20",505,570,323,-0.10090233
"B148X6I_1_1#v21","B148X6I_1_1","v21",476,571,317,-0.049131062
"B148X6I_1_1#v22","B148X6I_1_1","v22",578,501,316,-0.067185504
"B148X6I_1_1#v23","B148X6I_1_1","v23",397,458,310,0.13253854
"B148X6I_1_1#v24","B148X6I_1_1","v24",615,475,218,-0.085997058
"B148X6I_1_1#v25","B148X6I_1_1","v25",670,478,214,0.098378222
"B148X6I_1_1#v26","B148X6I_1_1","v26",649,501,212,0.024960795
"B148X6I_1_1#v27","B148X6I_1_1","v27",620,495,204,-0.151897872
"B148X6I_1_1#v28","B148X6I_1_1","v28",667,525,192,-0.16370188
"B148X6I_1_1#v29","B148X6I_1_1","v29",628,511,188,-0.035206086
"B148X6I_1_1#v30","B148X6I_1_1","v30",653,585,170,-0.104491393
"B148X6I_1_1#v31","B148X6I_1_1","v31",652,550,159,-0.059940903
"B148X6I_1_1#v32","B148X6I_1_1","v32",368,551,152,0.074473005
"B148X6I_1_1#v33","B148X6I_1_1","v33",625,539,157,-0.135045344
"B148X6I_1_1#v34","B148X6I_1_1","v34",360,452,151,0.13253854
"B148X6I_1_1#v35","B148X6I_1_1","v35",399,546,148,0.089392605
"B148X6I_1_1#v36","B148X6I_1_1","v36",470,529,145,0.076904747
"B148X6I_1_1#v37","B148X6I_1_1","v37",496,396,112,0.437280886
"B148X6I_1_1#v38","B148X6I_1_1","v38",527,431,101,0.290500626
"B150X3I_1_1#v0","B150X3I_1_1","v0",750,402,83,-0.495145854
"B150X3I_1_1#v1","B150X3I_1_1","v1",609,437,74,-0.433329262
"B150X3I_1_1#v2","B150X3I_1_1","v2",699,372,56,-0.191154957
"B150X3I_1_1#v3","B150X3I_1_1","v3",661,414,45,-0.016272332
"B150X3I_1_1#v4","B150X3I_1_1","v4",721,408,259,-0.403899532
"B150X3I_1_1#v5","B150X3I_1_1","v5",740,440,254,-0.215122805
"B150X3I_1_1#v6","B150X3I_1_1","v6",710,389,243,-0.692703886
"B150X3I_1_1#v7","B150X3I_1_1","v7",723,424,233,-0.109010205
"B150X3I_1_1#v8","B150X3I_1_1","v8",745,468,229,-0.125304016
"B150X3I_1_1#v9","B150X3I_1_1","v9",775,509,207,-0.027498773
"B150X3I_1_1#v10","B150X3I_1_1","v10",738,490,208,-0.466165223
"B150X3I_1_1#v11","B150X3I_1_1","v11",705,488,201,0.210233118
"B150X3I_1_1#v12","B150X3I_1_1","v12",733,504,193,-0.01432816
"B150X3I_1_1#v13","B150X3I_1_1","v13",667,335,123,-0.164937277
"B150X3I_1_1#v14","B150X3I_1_1","v14",614,343,110,-0.211132228
"B150X3I_1_1#v15","B150X3I_1_1","v15",651,362,102,-0.63187932
"B151X9I_1_1#v0","B151X9I_1_1","v0",412,521,58,-0.066595
"B151X9I_1_1#v1","B151X9I_1_1","v1",472,475,49,-0.190581117
"B151X9I_1_1#v2","B151X9I_1_1","v2",501,441,38,-0.053021751
"B151X9I_1_1#v3","B151X9I_1_1","v3",535,385,27,0.156635141
"B151X9I_1_1#v4","B151X9I_1_1","v4",468,365,10,-0.016121876
"B151X9I_1_1#v5","B151X9I_1_1","v5",379,424,333,-0.02129351
"B151X9I_1_1#v6","B151X9I_1_1","v6",472,307,180,0.156635141
"B151X9I_1_1#v7","B151X9I_1_1","v7",479,362,185,-0.227186118
"B151X9I_1_1#v8","B151X9I_1_1","v8",425,405,156,-0.17528845
"B151X9I_1_1#v9","B151X9I_1_1","v9",458,542,150,-0.046104759
"B151X9I_1_1#v10","B151X9I_1_1","v10",390,460,144,-0.00955735
"B151X9I_1_1#v11","B151X9I_1_1","v11",393,506,117,-0.202620108
"B152X8I_1_1#v0","B152X8I_1_1","v0",464,316,43,-0.034102921
"B152X8I_1_1#v1","B152X8I_1_1","v1",455,394,36,-0.136752286
"B152X8I_1_1#v2","B152X8I_1_1","v2",420,451,15,-0.200955619
"B152X8I_1_1#v3","B152X8I_1_1","v3",422,423,11,-0.151437715
"B152X8I_1_1#v4","B152X8I_1_1","v4",466,514,352,0.220767868
"B152X8I_1_1#v5","B152X8I_1_1","v5",421,381,345,-0.07833643
"B152X8I_1_1#v6","B152X8I_1_1","v6",330,326,310,-0.025021039
"B152X8I_1_1#v7","B152X8I_1_1","v7",364,331,314,0.074566315
"B152X8I_1_1#v8","B152X8I_1_1","v8",366,422,307,-0.184460251
"B152X8I_1_1#v9","B152X8I_1_1","v9",393,433,308,-0.194991152
"B152X8I_1_1#v10","B152X8I_1_1","v10",281,309,309,0.119556149
"B152X8I_1_1#v11","B152X8I_1_1","v11",323,282,307,-0.025287729
"B152X8I_1_1#v12","B152X8I_1_1","v12",396,517,301,-0.021974228
"B152X8I_1_1#v13","B152X8I_1_1","v13",341,419,298,-0.136542639
"B152X8I_1_1#v14","B152X8I_1_1","v14",463,485,234,-0.02633011
"B152X8I_1_1#v15","B152X8I_1_1","v15",476,485,230,-0.106911679
"B152X8I_1_1#v16","B152X8I_1_1","v16",486,406,219,-0.345530966
"B152X8I_1_1#v17","B152X8I_1_1","v17",475,337,210,-0.125746839
"B152X8I_1_1#v18","B152X8I_1_1","v18",474,371,198,-0.051172404
"B152X8I_1_1#v19","B152X8I_1_1","v19",514,506,200,0.102733086
"B152X8I_1_1#v20","B152X8I_1_1","v20",497,508,172,0.16398779
"B152X8I_1_1#v21","B152X8I_1_1","v21",427,296,155,0.028993662
"B152X8I_1_1#v22","B152X8I_1_1","v22",343,308,129,0.028355002
"B152X8I_1_1#v23","B152X8I_1_1","v23",378,289,126,0.043195531
"B152X8I_1_1#v24","B152X8I_1_1","v24",407,472,125,-0.290314948
"B152X8I_1_1#v25","B152X8I_1_1","v25",316,270,123,0.130757283
"B152X8I_1_1#v26","B152X8I_1_1","v26",419,480,114,-0.166276716
"B153X1I_1_1#v0","B153X1I_1_1","v0",536,297,72,-0.027315297
"B153X1I_1_1#v1","B153X1I_1_1","v1",452,437,68,-0.083414926
"B153X1I_1_1#v2","B153X1I_1_1","v2",322,494,71,0.03875234
"B153X1I_1_1#v3","B153X1I_1_1","v3",530,427,63,-0.238551609
"B153X1I_1_1#v4","B153X1I_1_1","v4",548,403,59,-0.207985972
"B153X1I_1_1#v5","B153X1I_1_1","v5",595,380,55,0.08402008
"B153X1I_1_1#v6","B153X1I_1_1","v6",588,397,56,0.100818585
"B153X1I_1_1#v7","B153X1I_1_1","v7",543,351,256,-0.23884549
"B153X1I_1_1#v8","B153X1I_1_1","v8",347,513,244,0.053554597
"B153X1I_1_1#v9","B153X1I_1_1","v9",495,486,242,-0.155423531
"B153X1I_1_1#v10","B153X1I_1_1","v10",437,499,245,0.015365092
"B153X1I_1_1#v11","B153X1I_1_1","v11",336,436,192,0.039084205
"B153X1I_1_1#v12","B153X1I_1_1","v12",332,467,160,0.013748937
"B154X6I_1_1#v0","B154X6I_1_1","v0",286,449,81,-0.222779519
"B154X6I_1_1#v1","B154X6I_1_1","v1",420,127,342,0.109644329
"B154X6I_1_1#v2","B154X6I_1_1","v2",351,279,315,0.109517062
"B154X6I_1_1#v3","B154X6I_1_1","v3",351,161,315,0.144918078
"B154X6I_1_1#v4","B154X6I_1_1","v4",345,502,312,-0.134999272
"B154X6I_1_1#v5","B154X6I_1_1","v5",358,504,307,-0.05752077
"B154X6I_1_1#v6","B154X6I_1_1","v6",333,289,295,0.109517062
"B154X6I_1_1#v7","B154X6I_1_1","v7",379,467,283,-0.315206334
"B154X6I_1_1#v8","B154X6I_1_1","v8",469,442,276,0.117256738
"B154X6I_1_1#v9","B154X6I_1_1","v9",281,377,276,-0.254024739
"B154X6I_1_1#v10","B154X6I_1_1","v10",343,423,274,-0.254392393
"B154X6I_1_1#v11","B154X6I_1_1","v11",342,465,272,-0.11956054
"B154X6I_1_1#v12","B154X6I_1_1","v12",341,481,256,-0.125113498
"B154X6I_1_1#v13","B154X6I_1_1","v13",339,502,217,-0.107378637
"B154X6I_1_1#v14","B154X6I_1_1","v14",355,141,138,0.151261464
"B154X6I_1_1#v15","B154X6I_1_1","v15",328,271,122,0.109517062
"B154X6I_1_1#v16","B154X6I_1_1","v16",471,369,105,0.124250116
"B154X6I_1_1#v17","B154X6I_1_1","v17",459,360,97,0.098688127
"B154X6I_1_1#v18","B154X6I_1_1","v18",255,347,101,-0.164660652
"B154X6I_1_1#v19","B154X6I_1_1","v19",472,386,92,-0.05096542
"B154X6I_1_1#v20","B154X6I_1_1","v20",535,433,93,-0.093405778
"B155X6I_1_1#v0","B155X6I_1_1","v0",299,400,89,-0.175919889
"B155X6I_1_1#v1","B155X6I_1_1","v1",268,457,80,-0.175498846
"B155X6I_1_1#v2","B155X6I_1_1","v2",503,302,34,0.086324812
"B155X6I_1_1#v3","B155X6I_1_1","v3",484,262,24,0.047001591
"B155X6I_1_1#v4","B155X6I_1_1","v4",444,292,7,-0.028944626
"B155X6I_1_1#v5","B155X6I_1_1","v5",471,214,10,0.077951639
"B155X6I_1_1#v6","B155X6I_1_1","v6",438,221,5,0.13118537
"B155X6I_1_1#v7","B155X6I_1_1","v7",407,283,350,0.120849589
"B155X6I_1_1#v8","B155X6I_1_1","v8",368,211,352,-0.005443841
"B155X6I_1_1#v9","B155X6I_1_1","v9",402,301,346,0.068752104
"B155X6I_1_1#v10","B155X6I_1_1","v10",339,144,339,0.002148471
"B155X6I_1_1#v11","B155X6I_1_1","v11",339,323,307,-0.070854837
"B155X6I_1_1#v12","B155X6I_1_1","v12",381,391,300,-0.114176062
"B155X6I_1_1#v13","B155X6I_1_1","v13",304,385,282,-0.099080104
"B155X6I_1_1#v14","B155X6I_1_1","v14",310,454,271,-0.038910792
"B155X6I_1_1#v15","B155X6I_1_1","v15",360,515,265,-0.124698173
"B155X6I_1_1#v16","B155X6I_1_1","v16",343,490,269,-0.03950377
"B155X6I_1_1#v17","B155X6I_1_1","v17",305,483,260,-0.012068941
"B155X6I_1_1#v18","B155X6I_1_1","v18",272,478,255,-0.007688205
"B155X6I_1_1#v19","B155X6I_1_1","v19",282,494,236,-0.068941373
"B155X6I_1_1#v20","B155X6I_1_1","v20",328,557,231,-0.037145279
"B155X6I_1_1#v21","B155X6I_1_1","v21",481,241,192,0.100250802
"B155X6I_1_1#v22","B155X6I_1_1","v22",462,278,182,0.135685979
"B155X6I_1_1#v23","B155X6I_1_1","v23",391,263,152,-0.021418702
"B155X6I_1_1#v24","B155X6I_1_1","v24",340,207,144,-0.197317542
"B155X6I_1_1#v25","B155X6I_1_1","v25",319,296,107,-0.073563337
"B155X6I_1_1#v26","B155X6I_1_1","v26",338,356,100,-0.235048714
"B155X6I_1_1#v27","B155X6I_1_1","v27",279,421,91,-0.104596452
"B157X7I_1_1#v0","B157X7I_1_1","v0",366,428,87,0.136695458
"B157X7I_1_1#v1","B157X7I_1_1","v1",347,396,63,-0.21212118
"B157X7I_1_1#v2","B157X7I_1_1","v2",370,372,51,-0.054125301
"B157X7I_1_1#v3","B157X7I_1_1","v3",458,427,55,-0.091437937
"B157X7I_1_1#v4","B157X7I_1_1","v4",361,382,56,-0.082525367
"B157X7I_1_1#v5","B157X7I_1_1","v5",414,365,46,-0.124088871
"B157X7I_1_1#v6","B157X7I_1_1","v6",377,357,32,0.117017112
"B157X7I_1_1#v7","B157X7I_1_1","v7",459,591,289,0.1009126
"B157X7I_1_1#v8","B157X7I_1_1","v8",445,563,271,0.31452653
"B157X7I_1_1#v9","B157X7I_1_1","v9",455,456,245,0.11626029
"B157X7I_1_1#v10","B157X7I_1_1","v10",339,415,108,-0.24896831
"B157X7I_1_1#v11","B157X7I_1_1","v11",353,421,92,-0.077069205
"B158X8I_1_1#v0","B158X8I_1_1","v0",292,553,84,-0.263365164
"B158X8I_1_1#v1","B158X8I_1_1","v1",306,561,71,-0.36365642
"B158X8I_1_1#v2","B158X8I_1_1","v2",409,400,20,0.01120308
"B158X8I_1_1#v3","B158X8I_1_1","v3",344,622,3,-0.254259516
"B158X8I_1_1#v4","B158X8I_1_1","v4",362,586,0,-0.137941818
"B158X8I_1_1#v5","B158X8I_1_1","v5",387,439,330,0.056420676
"B158X8I_1_1#v6","B158X8I_1_1","v6",321,382,323,-0.14284739
"B158X8I_1_1#v7","B158X8I_1_1","v7",368,425,325,-0.018567129
"B158X8I_1_1#v8","B158X8I_1_1","v8",343,429,306,0.108973479
"B158X8I_1_1#v9","B158X8I_1_1","v9",291,613,230,-0.297841939
"B158X8I_1_1#v10","B158X8I_1_1","v10",357,603,214,0.313474448
"B158X8I_1_1#v11","B158X8I_1_1","v11",335,633,216,0.070964091
"B158X8I_1_1#v12","B158X8I_1_1","v12",325,646,208,0.076210644
"B158X8I_1_1#v13","B158X8I_1_1","v13",400,574,153,-0.139859202
"B158X8I_1_1#v14","B158X8I_1_1","v14",414,591,130,-0.284408221
"B158X8I_1_1#v15","B158X8I_1_1","v15",410,513,112,-0.436468711
"B158X8I_1_1#v16","B158X8I_1_1","v16",316,454,108,-0.003704765
"B158X8I_1_1#v17","B158X8I_1_1","v17",398,476,102,-0.327824727
"B161X1I_1_1#v0","B161X1I_1_1","v0",373,372,66,0.01012198
"B161X1I_1_1#v1","B161X1I_1_1","v1",391,353,67,0.01012198
"B161X1I_1_1#v2","B161X1I_1_1","v2",295,358,58,0.01012198
"B161X1I_1_1#v3","B161X1I_1_1","v3",447,331,55,0.01012198
"B161X1I_1_1#v4","B161X1I_1_1","v4",487,173,46,0.01012198
"B161X1I_1_1#v5","B161X1I_1_1","v5",398,575,353,-0.08863572
"B161X1I_1_1#v6","B161X1I_1_1","v6",346,477,337,-0.08863572
"B161X1I_1_1#v7","B161X1I_1_1","v7",404,297,229,0.01012198
"B161X1I_1_1#v8","B161X1I_1_1","v8",527,285,226,0.01012198
"B161X1I_1_1#v9","B161X1I_1_1","v9",510,171,226,0.01012198
"B161X1I_1_1#v10","B161X1I_1_1","v10",314,384,229,0.01012198
"B161X1I_1_1#v11","B161X1I_1_1","v11",530,119,230,0.01012198
"B161X1I_1_1#v12","B161X1I_1_1","v12",477,327,229,0.01012198
"B161X1I_1_1#v13","B161X1I_1_1","v13",340,351,224,0.01012198
"B161X1I_1_1#v14","B161X1I_1_1","v14",385,466,202,0.01012198
"B161X1I_1_1#v15","B161X1I_1_1","v15",460,502,186,0.002770437
"B161X1I_1_1#v16","B161X1I_1_1","v16",373,562,176,-0.08863572
"B161X1I_1_1#v17","B161X1I_1_1","v17",426,538,173,-0.08863572
"B161X1I_1_1#v18","B161X1I_1_1","v18",281,330,136,-0.08863572
"B163X7I_1_1#v0","B163X7I_1_1","v0",378,315,52,0.24634438
"B163X7I_1_1#v1","B163X7I_1_1","v1",384,272,37,0.167650628
"B163X7I_1_1#v2","B163X7I_1_1","v2",398,255,33,-0.126109047
"B163X7I_1_1#v3","B163X7I_1_1","v3",393,204,18,-0.150385272
"B163X7I_1_1#v4","B163X7I_1_1","v4",352,196,356,-0.058908531
"B163X7I_1_1#v5","B163X7I_1_1","v5",322,294,351,-0.120744155
"B163X7I_1_1#v6","B163X7I_1_1","v6",334,201,343,-0.047336045
"B163X7I_1_1#v7","B163X7I_1_1","v7",306,276,333,-0.098302923
"B163X7I_1_1#v8","B163X7I_1_1","v8",435,197,203,0.193055895
"B163X7I_1_1#v9","B163X7I_1_1","v9",393,229,192,-0.091094669
"B163X7I_1_1#v10","B163X7I_1_1","v10",276,309,129,0.042067964
"B163X7I_1_1#v11","B163X7I_1_1","v11",321,380,119,-0.13402957
"B163X7I_1_1#v12","B163X7I_1_1","v12",339,402,106,-0.080681101
"B164X3I_1_1#v0","B164X3I_1_1","v0",410,387,85,-0.253459942
"B164X3I_1_1#v1","B164X3I_1_1","v1",421,378,80,-0.339950594
"B164X3I_1_1#v2","B164X3I_1_1","v2",480,393,31,0.231972737
"B164X3I_1_1#v3","B164X3I_1_1","v3",414,450,9,-0.20302076
"B164X3I_1_1#v4","B164X3I_1_1","v4",382,490,350,-0.71463282
"B164X3I_1_1#v5","B164X3I_1_1","v5",338,506,339,-0.332388655
"B164X3I_1_1#v6","B164X3I_1_1","v6",339,482,326,-0.263713405
"B164X3I_1_1#v7","B164X3I_1_1","v7",371,462,315,-0.564375399
"B164X3I_1_1#v8","B164X3I_1_1","v8",304,474,311,-0.213992681
"B164X3I_1_1#v9","B164X3I_1_1","v9",347,465,311,-0.633881693
"B164X3I_1_1#v10","B164X3I_1_1","v10",296,362,298,-0.026843542
"B164X3I_1_1#v11","B164X3I_1_1","v11",468,442,213,-0.336880664
"B164X3I_1_1#v12","B164X3I_1_1","v12",435,446,204,-0.703047568
"B164X3I_1_1#v13","B164X3I_1_1","v13",526,443,195,-0.028118626
"B164X3I_1_1#v14","B164X3I_1_1","v14",473,484,190,0.213410499
"B164X3I_1_1#v15","B164X3I_1_1","v15",456,505,187,-0.307218557
"B164X3I_1_1#v16","B164X3I_1_1","v16",334,339,112,0.211814462
"B164X3I_1_1#v17","B164X3I_1_1","v17",375,392,100,-0.339687536
"B164X3I_1_1#v18","B164X3I_1_1","v18",388,356,93,-0.330027067
"B164X3I_1_1#v19","B164X3I_1_1","v19",394,412,94,-0.178299885
"B165X7I_1_1#v0","B165X7I_1_1","v0",322,617,344,-0.350289577
"B165X7I_1_1#v1","B165X7I_1_1","v1",272,547,329,-0.473561503
"B165X7I_1_1#v2","B165X7I_1_1","v2",246,547,322,-0.21111078
"B165X7I_1_1#v3","B165X7I_1_1","v3",237,537,310,0.149429796
"B165X7I_1_1#v4","B165X7I_1_1","v4",387,526,209,-0.303818971
"B165X7I_1_1#v5","B165X7I_1_1","v5",352,512,205,-0.347096086
"B165X7I_1_1#v6","B165X7I_1_1","v6",311,519,197,-0.403996179
"B165X7I_1_1#v7","B165X7I_1_1","v7",362,543,195,-0.204336268
"B165X7I_1_1#v8","B165X7I_1_1","v8",328,533,190,-0.138582529
"B165X7I_1_1#v9","B165X7I_1_1","v9",414,613,191,0.359372266
"B165X7I_1_1#v10","B165X7I_1_1","v10",348,545,179,-0.113879614
"B165X7I_1_1#v11","B165X7I_1_1","v11",340,562,170,-0.336882049
"B165X7I_1_1#v12","B165X7I_1_1","v12",401,633,171,0.359372266
"B165X7I_1_1#v13","B165X7I_1_1","v13",295,529,162,0.349995195
"B166X3I_1_1#v0","B166X3I_1_1","v0",435,434,44,0.113179669
"B166X3I_1_1#v1","B166X3I_1_1","v1",457,264,23,-0.073438604
"B166X3I_1_1#v2","B166X3I_1_1","v2",374,403,308,0.076514779
"B166X3I_1_1#v3","B166X3I_1_1","v3",383,458,276,0.098830398
"B166X3I_1_1#v4","B166X3I_1_1","v4",485,363,209,-0.121949491
"B166X3I_1_1#v5","B166X3I_1_1","v5",452,391,211,-0.153619639
"B166X3I_1_1#v6","B166X3I_1_1","v6",463,310,204,-0.204708339
"B166X3I_1_1#v7","B166X3I_1_1","v7",405,328,166,-0.062428706
"B166X3I_1_1#v8","B166X3I_1_1","v8",410,345,156,0.131875056
"B166X3I_1_1#v9","B166X3I_1_1","v9",420,377,155,-7.65e-05
"B166X3I_1_1#v10","B166X3I_1_1","v10",429,416,111,0.113244677
"B167X2I_1_1#v0","B167X2I_1_1","v0",444,386,87,-0.29247737
"B167X2I_1_1#v1","B167X2I_1_1","v1",427,409,85,-0.197203818
"B167X2I_1_1#v2","B167X2I_1_1","v2",470,336,59,0.157943143
"B167X2I_1_1#v3","B167X2I_1_1","v3",368,430,274,0.237980296
"B167X2I_1_1#v4","B167X2I_1_1","v4",438,445,266,-0.089002814
"B167X2I_1_1#v5","B167X2I_1_1","v5",504,347,233,0.270300657
"B167X2I_1_1#v6","B167X2I_1_1","v6",361,282,133,0.254977668
"B167X2I_1_1#v7","B167X2I_1_1","v7",447,334,125,-0.125641531
"B167X2I_1_1#v8","B167X2I_1_1","v8",316,392,112,-0.352396769
"B167X2I_1_1#v9","B167X2I_1_1","v9",462,354,90,0.078451404
"B167X2I_1_1#v10","B167X2I_1_1","v10",362,401,94,-0.36797381
"B168X1I_1_1#v0","B168X1I_1_1","v0",316,434,85,-0.292473766
"B168X1I_1_1#v1","B168X1I_1_1","v1",197,530,80,-0.814608525
"B168X1I_1_1#v2","B168X1I_1_1","v2",330,429,74,-0.135159497
"B168X1I_1_1#v3","B168X1I_1_1","v3",259,465,77,0.08981786
"B168X1I_1_1#v4","B168X1I_1_1","v4",510,411,67,0.011199036
"B168X1I_1_1#v5","B168X1I_1_1","v5",401,412,64,-0.15951292
"B168X1I_1_1#v6","B168X1I_1_1","v6",351,445,58,-0.259529352
"B168X1I_1_1#v7","B168X1I_1_1","v7",429,362,48,-0.24746358
"B168X1I_1_1#v8","B168X1I_1_1","v8",283,486,260,-0.359824181
"B168X1I_1_1#v9","B168X1I_1_1","v9",527,438,251,0.171665441
"B168X1I_1_1#v10","B168X1I_1_1","v10",538,484,242,0.080123879
"B168X1I_1_1#v11","B168X1I_1_1","v11",333,522,238,-0.153893929
"B168X1I_1_1#v12","B168X1I_1_1","v12",488,414,239,-0.132592189
"B168X1I_1_1#v13","B168X1I_1_1","v13",325,536,234,-0.071427665
"B168X1I_1_1#v14","B168X1I_1_1","v14",289,562,227,-0.065416081
"B168X1I_1_1#v15","B168X1I_1_1","v15",409,527,230,-0.13195001
"B168X1I_1_1#v16","B168X1I_1_1","v16",381,536,230,-0.198382999
"B168X1I_1_1#v17","B168X1I_1_1","v17",233,572,225,-0.097730867
"B168X1I_1_1#v18","B168X1I_1_1","v18",342,561,216,-0.169258053
"B168X1I_1_1#v19","B168X1I_1_1","v19",275,570,215,-0.317083346
"B168X1I_1_1#v20","B168X1I_1_1","v20",397,560,210,0.095864442
"B168X1I_1_1#v21","B168X1I_1_1","v21",370,574,212,0.008180055
"B168X1I_1_1#v22","B168X1I_1_1","v22",231,590,203,-0.246314389
"B168X1I_1_1#v23","B168X1I_1_1","v23",442,592,199,0.176572551
"B168X1I_1_1#v24","B168X1I_1_1","v24",288,593,198,-0.123426767
"B168X1I_1_1#v25","B168X1I_1_1","v25",312,406,109,0.040500863
"B168X1I_1_1#v26","B168X1I_1_1","v26",233,446,99,-0.221772494
"B168X1I_1_1#v27","B168X1I_1_1","v27",214,484,94,-0.424183798
"B168X1I_1_1#v28","B168X1I_1_1","v28",281,432,95,-0.128399177
"B168X1I_1_1#v29","B168X1I_1_1","v29",248,468,90,0.219438071
"B169X2I_1_1#v0","B169X2I_1_1","v0",460,368,72,-0.340865484
"B169X2I_1_1#v1","B169X2I_1_1","v1",455,357,40,-0.306952183
"B169X2I_1_1#v2","B169X2I_1_1","v2",373,318,320,0.151007476
"B169X2I_1_1#v3","B169X2I_1_1","v3",364,357,297,-0.036982811
"B169X2I_1_1#v4","B169X2I_1_1","v4",488,406,255,-0.084286043
"B169X2I_1_1#v5","B169X2I_1_1","v5",503,336,228,0.179498282
"B169X2I_1_1#v6","B169X2I_1_1","v6",466,271,185,-0.170531076
"B169X2I_1_1#v7","B169X2I_1_1","v7",451,297,171,-0.073238315
"B169X2I_1_1#v8","B169X2I_1_1","v8",392,282,149,-0.152376788
"B169X2I_1_1#v9","B169X2I_1_1","v9",437,321,139,-0.346647482
"B169X2I_1_1#v10","B169X2I_1_1","v10",389,317,138,0.156906948
"B169X2I_1_1#v11","B169X2I_1_1","v11",459,329,139,-0.037615392
"B169X2I_1_1#v12","B169X2I_1_1","v12",388,329,113,0.003167438
"B169X2I_1_1#v13","B169X2I_1_1","v13",428,369,93,-0.09463815
"B170X7I_1_1#v0","B170X7I_1_1","v0",377,526,87,-0.307286209
"B170X7I_1_1#v1","B170X7I_1_1","v1",422,528,79,-0.114911504
"B170X7I_1_1#v2","B170X7I_1_1","v2",441,479,69,-0.074030384
"B170X7I_1_1#v3","B170X7I_1_1","v3",462,464,66,-0.174767252
"B170X7I_1_1#v4","B170X7I_1_1","v4",509,489,63,0.096928364
"B170X7I_1_1#v5","B170X7I_1_1","v5",348,505,67,0.468710788
"B170X7I_1_1#v6","B170X7I_1_1","v6",528,520,58,0.127434263
"B170X7I_1_1#v7","B170X7I_1_1","v7",358,477,51,-0.155580095
"B170X7I_1_1#v8","B170X7I_1_1","v8",474,383,54,0.00871889
"B170X7I_1_1#v9","B170X7I_1_1","v9",502,436,53,0.029142553
"B170X7I_1_1#v10","B170X7I_1_1","v10",386,449,49,-0.147524412
"B170X7I_1_1#v11","B170X7I_1_1","v11",459,403,49,0.2628606
"B170X7I_1_1#v12","B170X7I_1_1","v12",406,432,37,-0.029387188
"B170X7I_1_1#v13","B170X7I_1_1","v13",400,399,30,-0.019254946
"B170X7I_1_1#v14","B170X7I_1_1","v14",338,436,343,-0.298949597
"B170X7I_1_1#v15","B170X7I_1_1","v15",316,475,323,0.195128996
"B170X7I_1_1#v16","B170X7I_1_1","v16",327,488,322,-0.092293672
"B170X7I_1_1#v17","B170X7I_1_1","v17",499,560,246,0.145752443
"B170X7I_1_1#v18","B170X7I_1_1","v18",471,426,227,0.095641228
"B170X7I_1_1#v19","B170X7I_1_1","v19",400,453,211,-0.234864722
"B170X7I_1_1#v20","B170X7I_1_1","v20",334,514,103,-0.10084567
"B170X7I_1_1#v21","B170X7I_1_1","v21",348,521,99,-0.140402679
"B170X7I_1_1#v22","B170X7I_1_1","v22",358,555,100,-0.149139951
"B171X7I_1_1#v0","B171X7I_1_1","v0",445,445,75,-0.322381777
"B171X7I_1_1#v1","B171X7I_1_1","v1",439,405,76,-0.362188167
"B171X7I_1_1#v2","B171X7I_1_1","v2",413,373,77,-0.563717585
"B171X7I_1_1#v3","B171X7I_1_1","v3",469,403,65,-0.374820422
"B171X7I_1_1#v4","B171X7I_1_1","v4",452,353,65,-0.319398041
"B171X7I_1_1#v5","B171X7I_1_1","v5",399,341,62,-0.273964833
"B171X7I_1_1#v6","B171X7I_1_1","v6",497,363,56,-0.090854207
"B171X7I_1_1#v7","B171X7I_1_1","v7",397,297,49,-0.20078708
"B171X7I_1_1#v8","B171X7I_1_1","v8",417,323,50,0.223221384
"B171X7I_1_1#v9","B171X7I_1_1","v9",473,294,48,-0.09548709
"B171X7I_1_1#v10","B171X7I_1_1","v10",551,433,243,-0.236439814
"B171X7I_1_1#v11","B171X7I_1_1","v11",501,469,246,-0.181213492
"B171X7I_1_1#v12","B171X7I_1_1","v12",516,511,237,-0.024260538
"B171X7I_1_1#v13","B171X7I_1_1","v13",460,315,235,0.156456384
"B171X7I_1_1#v14","B171X7I_1_1","v14",499,617,232,0.089510538
"B171X7I_1_1#v15","B171X7I_1_1","v15",510,578,230,-0.010273322
"B171X7I_1_1#v16","B171X7I_1_1","v16",462,499,222,0.048129645
